,Precinct,County,Registered Voters,Kay Kirkpatrick (I) (Rep)_Election Day Votes,Kay Kirkpatrick (I) (Rep)_Advanced Voting Votes,Kay Kirkpatrick (I) (Rep)_Absentee by Mail Votes,Kay Kirkpatrick (I) (Rep)_Provisional Votes,Kay Kirkpatrick (I) (Rep)_Choice Total,Christine Triebsch (Dem)_Election Day Votes,Christine Triebsch (Dem)_Advanced Voting Votes,Christine Triebsch (Dem)_Absentee by Mail Votes,Christine Triebsch (Dem)_Provisional Votes,Christine Triebsch (Dem)_Choice Total,Total,calc_participation
25,Hightower 01,Cobb,4262.0,402.0,773.0,889.0,0.0,2064.0,108.0,462.0,870.0,0.0,1440.0,3504.0,82.2
28,Mabry 01,Cobb,1656.0,249.0,376.0,291.0,3.0,919.0,53.0,182.0,226.0,2.0,463.0,1382.0,83.5
29,Murdock 01,Cobb,4059.0,451.0,707.0,773.0,0.0,1931.0,146.0,467.0,771.0,0.0,1384.0,3315.0,81.7
30,McCleskey 01,Cobb,1736.0,248.0,353.0,250.0,0.0,851.0,78.0,192.0,301.0,1.0,572.0,1423.0,82.0
31,Marietta 6A,Cobb,2647.0,47.0,80.0,46.0,0.0,173.0,159.0,328.0,210.0,1.0,698.0,871.0,32.9
32,Mt Bethel 01,Cobb,4125.0,423.0,805.0,829.0,4.0,2061.0,101.0,413.0,839.0,2.0,1355.0,3416.0,82.8
33,Mt Bethel 03,Cobb,3294.0,224.0,700.0,550.0,0.0,1474.0,82.0,425.0,649.0,0.0,1156.0,2630.0,79.8
34,Mt Bethel 04,Cobb,2981.0,279.0,601.0,612.0,0.0,1492.0,68.0,285.0,567.0,0.0,920.0,2412.0,80.9
35,Nicholson 01,Cobb,2455.0,303.0,409.0,311.0,1.0,1024.0,123.0,306.0,365.0,0.0,794.0,1818.0,74.1
36,Post Oak 01,Cobb,3660.0,394.0,829.0,614.0,4.0,1841.0,114.0,421.0,563.0,0.0,1098.0,2939.0,80.3
37,Pope 01,Cobb,3153.0,275.0,672.0,527.0,0.0,1474.0,110.0,377.0,572.0,0.0,1059.0,2533.0,80.3
27,Lassiter 01,Cobb,3647.0,458.0,748.0,589.0,0.0,1795.0,112.0,452.0,599.0,2.0,1165.0,2960.0,81.2
38,Palmer 01,Cobb,2760.0,169.0,265.0,196.0,0.0,630.0,93.0,146.0,166.0,0.0,405.0,1035.0,37.5
40,Roswell 01,Cobb,5374.0,519.0,1078.0,1051.0,1.0,2649.0,153.0,571.0,1151.0,0.0,1875.0,4524.0,84.2
41,Roswell 02,Cobb,3701.0,402.0,689.0,710.0,3.0,1804.0,128.0,378.0,763.0,0.0,1269.0,3073.0,83.0
42,Sandy Plains 01,Cobb,2933.0,316.0,477.0,404.0,0.0,1197.0,151.0,417.0,549.0,1.0,1118.0,2315.0,78.9
43,Shallowford Falls 01,Cobb,3387.0,419.0,663.0,581.0,0.0,1663.0,116.0,383.0,642.0,0.0,1141.0,2804.0,82.8
44,Simpson 01,Cobb,1868.0,182.0,387.0,259.0,1.0,829.0,68.0,283.0,306.0,0.0,657.0,1486.0,79.6
45,Sewell Mill 01,Cobb,3493.0,367.0,602.0,552.0,0.0,1521.0,140.0,466.0,688.0,0.0,1294.0,2815.0,80.6
46,Sope Creek 01,Cobb,2163.0,288.0,389.0,423.0,0.0,1100.0,90.0,223.0,407.0,0.0,720.0,1820.0,84.1
47,Sope Creek 02,Cobb,4729.0,384.0,805.0,746.0,3.0,1938.0,180.0,677.0,817.0,0.0,1674.0,3612.0,76.4
48,Sope Creek 03,Cobb,2886.0,345.0,540.0,474.0,0.0,1359.0,106.0,352.0,450.0,0.0,908.0,2267.0,78.6
49,Terrell Mill 01,Cobb,5816.0,194.0,327.0,340.0,0.0,861.0,159.0,462.0,488.0,1.0,1110.0,1971.0,33.9
39,Rocky Mount 01,Cobb,3390.0,485.0,651.0,447.0,1.0,1584.0,134.0,372.0,562.0,1.0,1069.0,2653.0,78.3
26,Kell 01,Cobb,2006.0,314.0,340.0,261.0,0.0,915.0,126.0,199.0,311.0,1.0,637.0,1552.0,77.4
51,Willeo 01,Cobb,2836.0,364.0,552.0,514.0,1.0,1431.0,110.0,306.0,516.0,0.0,932.0,2363.0,83.3
24,Gritters 01,Cobb,4033.0,439.0,695.0,522.0,1.0,1657.0,244.0,454.0,587.0,1.0,1286.0,2943.0,73.0
9,Addison 01,Cobb,2444.0,245.0,376.0,385.0,0.0,1006.0,125.0,320.0,466.0,2.0,913.0,1919.0,78.5
10,Bells Ferry 02,Cobb,3127.0,319.0,518.0,357.0,1.0,1195.0,161.0,412.0,481.0,0.0,1054.0,2249.0,71.9
11,Bells Ferry 03,Cobb,2436.0,279.0,331.0,200.0,0.0,810.0,187.0,306.0,341.0,0.0,834.0,1644.0,67.5
50,Timber Ridge 01,Cobb,2448.0,281.0,476.0,427.0,0.0,1184.0,68.0,275.0,516.0,1.0,860.0,2044.0,83.5
13,Chestnut Ridge 01,Cobb,3162.0,337.0,631.0,643.0,0.0,1611.0,116.0,347.0,583.0,0.0,1046.0,2657.0,84.0
14,Dickerson 01,Cobb,2828.0,281.0,588.0,514.0,2.0,1385.0,77.0,325.0,568.0,1.0,971.0,2356.0,83.3
15,Dodgen 01,Cobb,2100.0,268.0,396.0,397.0,2.0,1063.0,78.0,242.0,363.0,1.0,684.0,1747.0,83.2
12,Blackwell 01,Cobb,2698.0,229.0,450.0,295.0,1.0,975.0,173.0,360.0,504.0,1.0,1038.0,2013.0,74.6
17,Eastside 01,Cobb,3040.0,348.0,579.0,598.0,1.0,1526.0,86.0,311.0,596.0,1.0,994.0,2520.0,82.9
18,Eastside 02,Cobb,4074.0,230.0,447.0,548.0,0.0,1225.0,74.0,270.0,499.0,0.0,843.0,2068.0,50.8
19,Elizabeth 03,Cobb,2767.0,317.0,462.0,532.0,2.0,1313.0,116.0,363.0,433.0,0.0,912.0,2225.0,80.4
20,Elizabeth 04,Cobb,3011.0,165.0,209.0,169.0,0.0,543.0,124.0,307.0,372.0,0.0,803.0,1346.0,44.7
21,Elizabeth 05,Cobb,2884.0,347.0,473.0,400.0,0.0,1220.0,137.0,358.0,538.0,1.0,1034.0,2254.0,78.2
22,Fullers Park 01,Cobb,3452.0,365.0,663.0,618.0,0.0,1646.0,131.0,382.0,642.0,0.0,1155.0,2801.0,81.1
23,Garrison Mill 01,Cobb,2872.0,341.0,587.0,390.0,1.0,1319.0,132.0,371.0,488.0,0.0,991.0,2310.0,80.4
16,Davis 01,Cobb,2093.0,332.0,354.0,262.0,0.0,948.0,129.0,273.0,334.0,0.0,736.0,1684.0,80.5
1,SS03,Fulton,1577.0,80.0,346.0,128.0,3.0,557.0,38.0,396.0,210.0,1.0,645.0,1202.0,76.2
2,SS04,Fulton,3763.0,150.0,571.0,251.0,7.0,979.0,129.0,991.0,525.0,5.0,1650.0,2629.0,69.9
3,SS05,Fulton,1853.0,108.0,498.0,207.0,0.0,813.0,26.0,420.0,290.0,0.0,736.0,1549.0,83.6
7,SS18B,Fulton,241.0,14.0,60.0,23.0,1.0,98.0,2.0,49.0,41.0,0.0,92.0,190.0,78.8
5,SS16,Fulton,2116.0,99.0,617.0,290.0,4.0,1010.0,24.0,363.0,324.0,2.0,713.0,1723.0,81.4
6,SS18A,Fulton,657.0,42.0,171.0,74.0,0.0,287.0,9.0,136.0,105.0,0.0,250.0,537.0,81.7
8,SS29A,Fulton,2842.0,137.0,465.0,225.0,5.0,832.0,81.0,722.0,377.0,2.0,1182.0,2014.0,70.9
4,SS09A,Fulton,3193.0,180.0,857.0,464.0,0.0,1501.0,48.0,534.0,468.0,0.0,1050.0,2551.0,79.9
0,SS02B,Fulton,1318.0,33.0,161.0,63.0,4.0,261.0,45.0,395.0,178.0,2.0,620.0,881.0,66.8
