,Precinct,County,Registered Voters,Becky E. Hites (Rep)_Election Day Votes,Becky E. Hites (Rep)_Advanced Voting Votes,Becky E. Hites (Rep)_Absentee by Mail Votes,Becky E. Hites (Rep)_Provisional Votes,Becky E. Hites (Rep)_Choice Total,David Scott (I) (Dem)_Election Day Votes,David Scott (I) (Dem)_Advanced Voting Votes,David Scott (I) (Dem)_Absentee by Mail Votes,David Scott (I) (Dem)_Provisional Votes,David Scott (I) (Dem)_Choice Total,Total,calc_participation
93,Riverdale 2,Clayton,3431.0,32.0,41.0,27.0,1.0,101.0,300.0,910.0,551.0,25.0,1786.0,1887.0,55.0
98,Riverdale 7,Clayton,3020.0,45.0,82.0,53.0,1.0,181.0,294.0,515.0,313.0,11.0,1133.0,1314.0,43.5
97,Riverdale 6,Clayton,3661.0,55.0,82.0,61.0,0.0,198.0,345.0,644.0,391.0,10.0,1390.0,1588.0,43.4
96,Riverdale 5,Clayton,2970.0,43.0,62.0,40.0,1.0,146.0,301.0,807.0,420.0,10.0,1538.0,1684.0,56.7
95,Riverdale 4,Clayton,4362.0,32.0,101.0,64.0,1.0,198.0,432.0,976.0,641.0,8.0,2057.0,2255.0,51.7
94,Riverdale 3,Clayton,3650.0,28.0,56.0,43.0,0.0,127.0,336.0,1095.0,599.0,4.0,2034.0,2161.0,59.2
92,Riverdale 1,Clayton,2330.0,14.0,53.0,30.0,1.0,98.0,179.0,828.0,439.0,7.0,1453.0,1551.0,66.6
91,Panhandle 2,Clayton,3382.0,88.0,266.0,101.0,1.0,456.0,268.0,1109.0,478.0,5.0,1860.0,2316.0,68.5
90,Panhandle 1,Clayton,2895.0,39.0,101.0,55.0,0.0,195.0,233.0,1036.0,566.0,2.0,1837.0,2032.0,70.2
89,Lovejoy 7,Clayton,2779.0,51.0,136.0,29.0,2.0,218.0,237.0,762.0,219.0,6.0,1224.0,1442.0,51.9
88,Lovejoy 6,Clayton,3708.0,33.0,109.0,69.0,1.0,212.0,279.0,1232.0,592.0,9.0,2112.0,2324.0,62.7
87,Lovejoy 5,Clayton,3451.0,32.0,84.0,52.0,0.0,168.0,289.0,1010.0,482.0,15.0,1796.0,1964.0,56.9
86,Lovejoy 4,Clayton,4149.0,36.0,137.0,63.0,0.0,236.0,277.0,1529.0,627.0,3.0,2436.0,2672.0,64.4
85,Lovejoy 3,Clayton,1666.0,21.0,97.0,67.0,0.0,185.0,114.0,588.0,352.0,3.0,1057.0,1242.0,74.5
84,Lovejoy 2,Clayton,3611.0,47.0,141.0,48.0,1.0,237.0,230.0,1079.0,473.0,6.0,1788.0,2025.0,56.1
83,Lovejoy 1,Clayton,4061.0,67.0,167.0,74.0,0.0,308.0,306.0,1350.0,623.0,2.0,2281.0,2589.0,63.8
82,Jonesboro 19,Clayton,3299.0,33.0,82.0,40.0,0.0,155.0,287.0,884.0,516.0,10.0,1697.0,1852.0,56.1
81,Jonesboro 18,Clayton,3301.0,39.0,115.0,61.0,0.0,215.0,325.0,881.0,425.0,5.0,1636.0,1851.0,56.1
68,Jonesboro 4,Clayton,2574.0,46.0,73.0,51.0,2.0,172.0,211.0,512.0,271.0,4.0,998.0,1170.0,45.5
67,Jonesboro 3,Clayton,4107.0,73.0,208.0,111.0,0.0,392.0,273.0,1168.0,768.0,8.0,2217.0,2609.0,63.5
66,Jonesboro 2,Clayton,4345.0,42.0,64.0,35.0,3.0,144.0,369.0,1266.0,735.0,8.0,2378.0,2522.0,58.0
65,Jonesboro 1,Clayton,3244.0,29.0,67.0,49.0,1.0,146.0,280.0,938.0,595.0,4.0,1817.0,1963.0,60.5
71,Jonesboro 7,Clayton,3174.0,44.0,189.0,107.0,0.0,340.0,273.0,883.0,482.0,6.0,1644.0,1984.0,62.5
72,Jonesboro 9,Clayton,1759.0,42.0,41.0,38.0,1.0,122.0,138.0,316.0,192.0,3.0,649.0,771.0,43.8
99,Riverdale 8,Clayton,2895.0,34.0,84.0,60.0,0.0,178.0,234.0,887.0,602.0,4.0,1727.0,1905.0,65.8
73,Jonesboro 10,Clayton,3398.0,43.0,68.0,49.0,1.0,161.0,332.0,681.0,406.0,5.0,1424.0,1585.0,46.6
75,Jonesboro 12,Clayton,3067.0,28.0,53.0,33.0,0.0,114.0,307.0,837.0,426.0,16.0,1586.0,1700.0,55.4
76,Jonesboro 13,Clayton,2140.0,71.0,85.0,39.0,0.0,195.0,214.0,656.0,359.0,3.0,1232.0,1427.0,66.7
77,Jonesboro 14,Clayton,4116.0,98.0,403.0,260.0,0.0,761.0,249.0,1175.0,737.0,5.0,2166.0,2927.0,71.1
78,Jonesboro 15,Clayton,2872.0,17.0,66.0,38.0,1.0,122.0,247.0,655.0,250.0,6.0,1158.0,1280.0,44.6
79,Jonesboro 16,Clayton,2560.0,52.0,66.0,56.0,0.0,174.0,289.0,538.0,332.0,5.0,1164.0,1338.0,52.3
80,Jonesboro 17,Clayton,3359.0,33.0,55.0,31.0,0.0,119.0,298.0,774.0,491.0,10.0,1573.0,1692.0,50.4
74,Jonesboro 11,Clayton,3863.0,69.0,247.0,131.0,2.0,449.0,261.0,1130.0,721.0,2.0,2114.0,2563.0,66.3
69,Jonesboro 5,Clayton,2064.0,65.0,128.0,65.0,0.0,258.0,230.0,512.0,301.0,0.0,1043.0,1301.0,63.0
100,Riverdale 9,Clayton,2653.0,30.0,79.0,52.0,0.0,161.0,267.0,710.0,387.0,5.0,1369.0,1530.0,57.7
102,Riverdale 11,Clayton,1881.0,16.0,30.0,16.0,0.0,62.0,165.0,615.0,317.0,1.0,1098.0,1160.0,61.7
101,Riverdale 10,Clayton,3176.0,23.0,25.0,8.0,0.0,56.0,325.0,681.0,297.0,4.0,1307.0,1363.0,42.9
70,Jonesboro 6,Clayton,2574.0,114.0,471.0,242.0,0.0,827.0,108.0,516.0,496.0,3.0,1123.0,1950.0,75.8
103,Riverdale 12,Clayton,3065.0,47.0,50.0,44.0,0.0,141.0,287.0,902.0,524.0,4.0,1717.0,1858.0,60.6
155,Birney 01,Cobb,2727.0,127.0,240.0,240.0,3.0,610.0,224.0,472.0,462.0,7.0,1165.0,1775.0,65.1
184,Smyrna 7A,Cobb,6378.0,205.0,668.0,486.0,0.0,1359.0,213.0,1699.0,1632.0,0.0,3544.0,4903.0,76.9
183,Smyrna 6A,Cobb,5936.0,44.0,76.0,46.0,0.0,166.0,19.0,59.0,65.0,0.0,143.0,309.0,5.2
182,Smyrna 5A,Cobb,4319.0,216.0,352.0,253.0,0.0,821.0,344.0,832.0,804.0,5.0,1985.0,2806.0,65.0
181,Smyrna 4A,Cobb,5842.0,331.0,805.0,782.0,1.0,1919.0,246.0,1096.0,1422.0,1.0,2765.0,4684.0,80.2
180,Smyrna 3B,Cobb,2496.0,163.0,372.0,238.0,0.0,773.0,135.0,491.0,515.0,1.0,1142.0,1915.0,76.7
179,Smyrna 3A,Cobb,4573.0,102.0,219.0,106.0,0.0,427.0,116.0,455.0,335.0,1.0,907.0,1334.0,29.2
178,Riverside 01,Cobb,2133.0,36.0,39.0,23.0,0.0,98.0,214.0,481.0,311.0,1.0,1007.0,1105.0,51.8
177,Powders Springs 3A,Cobb,3991.0,115.0,369.0,198.0,0.0,682.0,266.0,1105.0,637.0,1.0,2009.0,2691.0,67.4
176,Powders Springs 2A,Cobb,3536.0,83.0,219.0,136.0,0.0,438.0,223.0,963.0,630.0,2.0,1818.0,2256.0,63.8
175,Powders Springs 1A,Cobb,4755.0,139.0,526.0,314.0,1.0,980.0,201.0,1331.0,1053.0,3.0,2588.0,3568.0,75.0
174,Pebblebrook 01,Cobb,5218.0,114.0,259.0,193.0,0.0,566.0,437.0,1318.0,934.0,4.0,2693.0,3259.0,62.5
173,Oregon 04,Cobb,4673.0,173.0,393.0,295.0,1.0,862.0,348.0,992.0,985.0,3.0,2328.0,3190.0,68.3
172,Oregon 02,Cobb,5671.0,205.0,380.0,367.0,0.0,952.0,429.0,1271.0,1124.0,2.0,2826.0,3778.0,66.6
171,Norton Park 01,Cobb,4922.0,229.0,473.0,446.0,1.0,1149.0,372.0,773.0,840.0,2.0,1987.0,3136.0,63.7
170,McEachern 01,Cobb,3549.0,149.0,525.0,351.0,1.0,1026.0,148.0,818.0,667.0,0.0,1633.0,2659.0,74.9
169,Macland 01,Cobb,4213.0,140.0,386.0,204.0,0.0,730.0,278.0,1092.0,809.0,2.0,2181.0,2911.0,69.1
167,Mableton 03,Cobb,3010.0,177.0,383.0,306.0,1.0,867.0,193.0,550.0,522.0,2.0,1267.0,2134.0,70.9
166,Mableton 02,Cobb,3330.0,126.0,213.0,175.0,0.0,514.0,254.0,611.0,542.0,0.0,1407.0,1921.0,57.7
165,Mableton 01,Cobb,5127.0,133.0,473.0,372.0,2.0,980.0,287.0,1180.0,1067.0,0.0,2534.0,3514.0,68.5
164,Lindley 01,Cobb,4797.0,166.0,361.0,270.0,0.0,797.0,304.0,1430.0,1182.0,1.0,2917.0,3714.0,77.4
163,Harmony-Leland 01,Cobb,6394.0,123.0,340.0,207.0,0.0,670.0,356.0,1962.0,1486.0,4.0,3808.0,4478.0,70.0
162,Fair Oaks 04,Cobb,5322.0,161.0,149.0,143.0,0.0,453.0,257.0,331.0,331.0,2.0,921.0,1374.0,25.8
161,Cooper 01,Cobb,5252.0,118.0,296.0,227.0,0.0,641.0,424.0,1251.0,931.0,3.0,2609.0,3250.0,61.9
160,Clarkdale 02,Cobb,5372.0,257.0,445.0,264.0,0.0,966.0,445.0,1303.0,855.0,3.0,2606.0,3572.0,66.5
159,Clarkdale 01,Cobb,1937.0,115.0,196.0,138.0,0.0,449.0,126.0,342.0,323.0,2.0,793.0,1242.0,64.1
185,Sweetwater 01,Cobb,3235.0,182.0,422.0,230.0,0.0,834.0,207.0,726.0,519.0,1.0,1453.0,2287.0,70.7
158,Bryant 02,Cobb,6209.0,56.0,98.0,56.0,0.0,210.0,538.0,1499.0,793.0,4.0,2834.0,3044.0,49.0
157,Bryant 01,Cobb,2142.0,20.0,39.0,23.0,1.0,83.0,194.0,716.0,470.0,2.0,1382.0,1465.0,68.4
156,Birney 02,Cobb,3894.0,181.0,398.0,349.0,1.0,929.0,200.0,888.0,858.0,4.0,1950.0,2879.0,73.9
154,Austell 1A,Cobb,5329.0,157.0,257.0,171.0,1.0,586.0,378.0,1303.0,981.0,11.0,2673.0,3259.0,61.2
168,Mableton 04,Cobb,1581.0,136.0,214.0,202.0,0.0,552.0,76.0,300.0,327.0,0.0,703.0,1255.0,79.4
186,Sweetwater 02,Cobb,3367.0,88.0,165.0,160.0,3.0,416.0,269.0,623.0,619.0,16.0,1527.0,1943.0,57.7
129,Chapel Hill,Douglas,4016.0,123.0,467.0,128.0,0.0,718.0,259.0,1172.0,708.0,5.0,2144.0,2862.0,71.3
113,Winston,Douglas,1911.0,101.0,295.0,110.0,1.0,507.0,147.0,419.0,187.0,1.0,754.0,1261.0,66.0
114,Dog River Library,Douglas,4915.0,395.0,1958.0,439.0,0.0,2792.0,108.0,553.0,409.0,0.0,1070.0,3862.0,78.6
115,Atlanta West Pentecostal,Douglas,4076.0,72.0,107.0,54.0,0.0,233.0,391.0,948.0,541.0,1.0,1881.0,2114.0,51.9
116,Ephesus Baptist Church,Douglas,3930.0,549.0,1304.0,374.0,0.0,2227.0,123.0,379.0,304.0,0.0,806.0,3033.0,77.2
117,Prays Mill Gym,Douglas,5459.0,358.0,1368.0,428.0,0.0,2154.0,219.0,879.0,618.0,0.0,1716.0,3870.0,70.9
118,Turner,Douglas,3847.0,213.0,521.0,251.0,0.0,985.0,301.0,734.0,468.0,0.0,1503.0,2488.0,64.7
119,First Baptist Lithia Springs,Douglas,1966.0,125.0,296.0,148.0,2.0,571.0,144.0,309.0,237.0,5.0,695.0,1266.0,64.4
120,Lithia Springs High School,Douglas,6033.0,88.0,392.0,155.0,0.0,635.0,372.0,1844.0,1123.0,2.0,3341.0,3976.0,65.9
121,Deer Lick,Douglas,3042.0,106.0,455.0,147.0,1.0,709.0,164.0,633.0,328.0,0.0,1125.0,1834.0,60.3
122,Golden Methodist Church,Douglas,5634.0,83.0,236.0,124.0,0.0,443.0,441.0,1594.0,939.0,4.0,2978.0,3421.0,60.7
123,Old Courthouse,Douglas,5675.0,140.0,554.0,281.0,0.0,975.0,339.0,1192.0,746.0,4.0,2281.0,3256.0,57.4
124,Beulah Baptist Church,Douglas,3500.0,232.0,559.0,259.0,1.0,1051.0,233.0,632.0,390.0,0.0,1255.0,2306.0,65.9
125,Stewart,Douglas,3208.0,55.0,132.0,60.0,0.0,247.0,323.0,872.0,519.0,1.0,1715.0,1962.0,61.2
126,Arbor Station,Douglas,2990.0,120.0,294.0,130.0,0.0,544.0,259.0,695.0,399.0,10.0,1363.0,1907.0,63.8
127,Bright Star,Douglas,2703.0,242.0,538.0,178.0,1.0,959.0,140.0,381.0,310.0,1.0,832.0,1791.0,66.3
128,Dorsett Shoals,Douglas,3901.0,301.0,728.0,281.0,0.0,1310.0,194.0,530.0,412.0,1.0,1137.0,2447.0,62.7
136,Boundary Waters,Douglas,4220.0,39.0,268.0,61.0,0.0,368.0,255.0,1606.0,656.0,1.0,2518.0,2886.0,68.4
130,Church At Chapel Hill,Douglas,6353.0,186.0,866.0,277.0,0.0,1329.0,358.0,1889.0,1014.0,0.0,3261.0,4590.0,72.2
131,Chestnut Log,Douglas,5177.0,120.0,366.0,166.0,1.0,653.0,296.0,1149.0,638.0,4.0,2087.0,2740.0,52.9
132,St Julians Episcopal,Douglas,2253.0,176.0,381.0,176.0,0.0,733.0,140.0,337.0,283.0,0.0,760.0,1493.0,66.3
133,Lutheran Church-GS,Douglas,4149.0,186.0,610.0,247.0,1.0,1044.0,205.0,1106.0,678.0,1.0,1990.0,3034.0,73.1
112,Mirror Lake Elementary,Douglas,6745.0,423.0,1076.0,423.0,2.0,1924.0,426.0,1224.0,935.0,3.0,2588.0,4512.0,66.9
134,First Baptist Douglasville,Douglas,2478.0,113.0,401.0,194.0,0.0,708.0,108.0,591.0,452.0,0.0,1151.0,1859.0,75.0
135,Factory Shoals,Douglas,4359.0,121.0,459.0,160.0,1.0,741.0,220.0,1393.0,744.0,0.0,2357.0,3098.0,71.1
108,Kenwood,Fayette,1014.0,47.0,65.0,41.0,0.0,153.0,92.0,323.0,213.0,2.0,630.0,783.0,77.2
104,Europe,Fayette,3310.0,46.0,164.0,79.0,2.0,291.0,199.0,1227.0,781.0,13.0,2220.0,2511.0,75.9
105,Hopeful,Fayette,2309.0,145.0,357.0,99.0,0.0,601.0,158.0,560.0,365.0,1.0,1084.0,1685.0,73.0
106,Morning Creek,Fayette,3059.0,109.0,494.0,278.0,0.0,881.0,154.0,770.0,520.0,0.0,1444.0,2325.0,76.0
107,Sandy Creek,Fayette,4848.0,38.0,353.0,88.0,1.0,480.0,42.0,336.0,167.0,0.0,545.0,1025.0,21.1
111,Oak Ridge,Fayette,2225.0,121.0,316.0,168.0,1.0,606.0,133.0,519.0,411.0,6.0,1069.0,1675.0,75.3
109,Banks,Fayette,1624.0,118.0,261.0,162.0,0.0,541.0,112.0,313.0,230.0,0.0,655.0,1196.0,73.6
110,Dogwood,Fayette,3092.0,71.0,358.0,93.0,0.0,522.0,46.0,200.0,141.0,0.0,387.0,909.0,29.4
12,FA01A,Fulton,4032.0,41.0,152.0,70.0,1.0,264.0,224.0,1394.0,597.0,16.0,2231.0,2495.0,61.9
11,EP04C,Fulton,1318.0,0.0,13.0,1.0,1.0,15.0,0.0,394.0,40.0,1.0,435.0,450.0,34.1
10,EP04B,Fulton,2624.0,11.0,26.0,8.0,0.0,45.0,144.0,1059.0,277.0,3.0,1483.0,1528.0,58.2
9,CP08A,Fulton,756.0,8.0,2.0,0.0,0.0,10.0,55.0,83.0,28.0,0.0,166.0,176.0,23.3
8,CP084,Fulton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,CP083,Fulton,240.0,2.0,0.0,0.0,0.0,2.0,11.0,19.0,3.0,0.0,33.0,35.0,14.6
25,SC08B,Fulton,4096.0,24.0,48.0,23.0,1.0,96.0,258.0,1531.0,649.0,13.0,2451.0,2547.0,62.2
6,CP081,Fulton,373.0,3.0,1.0,1.0,0.0,5.0,32.0,54.0,15.0,5.0,106.0,111.0,29.8
5,CP06A,Fulton,732.0,5.0,9.0,1.0,0.0,15.0,48.0,121.0,40.0,0.0,209.0,224.0,30.6
4,CH05,Fulton,429.0,43.0,131.0,44.0,0.0,218.0,10.0,50.0,40.0,0.0,100.0,318.0,74.1
3,CH04A,Fulton,825.0,42.0,218.0,65.0,0.0,325.0,18.0,214.0,96.0,0.0,328.0,653.0,79.2
2,CH03,Fulton,410.0,50.0,116.0,31.0,0.0,197.0,14.0,62.0,26.0,0.0,102.0,299.0,72.9
1,CH02,Fulton,338.0,35.0,78.0,34.0,0.0,147.0,13.0,51.0,33.0,0.0,97.0,244.0,72.2
13,FA01B,Fulton,5860.0,4.0,226.0,88.0,0.0,318.0,26.0,2204.0,832.0,8.0,3070.0,3388.0,57.8
14,FA01C,Fulton,769.0,6.0,15.0,6.0,0.0,27.0,59.0,285.0,102.0,1.0,447.0,474.0,61.6
18,SC05A,Fulton,721.0,1.0,5.0,3.0,0.0,9.0,53.0,314.0,86.0,4.0,457.0,466.0,64.6
16,PA01,Fulton,3006.0,49.0,217.0,117.0,6.0,389.0,178.0,856.0,335.0,11.0,1380.0,1769.0,58.8
17,SC04,Fulton,1080.0,53.0,106.0,37.0,2.0,198.0,64.0,320.0,143.0,2.0,529.0,727.0,67.3
24,SC07D,Fulton,2038.0,8.0,35.0,4.0,1.0,48.0,131.0,842.0,89.0,2.0,1064.0,1112.0,54.6
19,SC05B,Fulton,3646.0,16.0,41.0,21.0,1.0,79.0,176.0,1766.0,493.0,7.0,2442.0,2521.0,69.1
20,SC05D,Fulton,2808.0,16.0,45.0,14.0,0.0,75.0,175.0,1284.0,360.0,2.0,1821.0,1896.0,67.5
21,SC05E,Fulton,688.0,6.0,33.0,30.0,0.0,69.0,40.0,247.0,118.0,3.0,408.0,477.0,69.3
22,SC07A,Fulton,4506.0,34.0,215.0,87.0,0.0,336.0,231.0,1785.0,1021.0,11.0,3048.0,3384.0,75.1
23,SC07C,Fulton,41.0,0.0,1.0,1.0,0.0,2.0,1.0,8.0,2.0,0.0,11.0,13.0,31.7
30,SC08G,Fulton,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,21.4
29,SC08F,Fulton,793.0,5.0,6.0,1.0,0.0,12.0,39.0,283.0,101.0,0.0,423.0,435.0,54.9
28,SC08E,Fulton,724.0,1.0,8.0,2.0,0.0,11.0,57.0,300.0,64.0,4.0,425.0,436.0,60.2
27,SC08D,Fulton,605.0,1.0,1.0,3.0,0.0,5.0,38.0,235.0,78.0,0.0,351.0,356.0,58.8
26,SC08C,Fulton,91.0,0.0,0.0,0.0,0.0,0.0,6.0,47.0,17.0,0.0,70.0,70.0,76.9
15,FA01D,Fulton,321.0,2.0,9.0,2.0,2.0,15.0,18.0,119.0,6.0,13.0,156.0,171.0,53.3
31,SC08H,Fulton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,UC031,Fulton,2745.0,22.0,91.0,118.0,2.0,233.0,149.0,633.0,418.0,23.0,1223.0,1456.0,53.0
39,SC15,Fulton,4522.0,17.0,72.0,42.0,0.0,131.0,268.0,1983.0,826.0,6.0,3083.0,3214.0,71.1
42,SC17B,Fulton,10.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,5.0,50.0
43,SC17C,Fulton,1293.0,13.0,14.0,7.0,0.0,34.0,65.0,499.0,187.0,0.0,751.0,785.0,60.7
44,SC18B,Fulton,915.0,2.0,11.0,5.0,0.0,18.0,38.0,454.0,161.0,0.0,653.0,671.0,73.3
45,SC18C,Fulton,2100.0,6.0,40.0,19.0,0.0,65.0,74.0,994.0,416.0,0.0,1484.0,1549.0,73.8
46,SC19A,Fulton,213.0,2.0,2.0,4.0,0.0,8.0,4.0,85.0,43.0,1.0,133.0,141.0,66.2
47,SC19B,Fulton,1628.0,3.0,14.0,8.0,0.0,25.0,135.0,433.0,219.0,10.0,797.0,822.0,50.5
48,SC20,Fulton,2562.0,6.0,38.0,6.0,4.0,54.0,107.0,1464.0,363.0,24.0,1958.0,2012.0,78.5
49,SC211,Fulton,1828.0,9.0,27.0,16.0,0.0,52.0,99.0,817.0,294.0,0.0,1210.0,1262.0,69.0
50,SC212,Fulton,4244.0,18.0,74.0,39.0,1.0,132.0,249.0,1704.0,600.0,11.0,2564.0,2696.0,63.5
51,SC23A,Fulton,3854.0,26.0,30.0,14.0,0.0,70.0,322.0,1118.0,637.0,11.0,2088.0,2158.0,56.0
52,SC23B,Fulton,557.0,4.0,6.0,8.0,0.0,18.0,52.0,165.0,110.0,2.0,329.0,347.0,62.3
53,SC23C,Fulton,2606.0,18.0,26.0,8.0,0.0,52.0,199.0,871.0,401.0,2.0,1473.0,1525.0,58.5
54,SC27,Fulton,2361.0,10.0,16.0,13.0,0.0,39.0,148.0,732.0,472.0,0.0,1352.0,1391.0,58.9
55,SC29A,Fulton,3154.0,9.0,41.0,11.0,0.0,61.0,273.0,932.0,549.0,9.0,1763.0,1824.0,57.8
56,UC01A,Fulton,4234.0,20.0,57.0,18.0,0.0,95.0,319.0,1195.0,343.0,12.0,1869.0,1964.0,46.4
57,UC01B,Fulton,428.0,3.0,4.0,0.0,2.0,9.0,44.0,139.0,29.0,4.0,216.0,225.0,52.6
58,UC01D,Fulton,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,UC01E,Fulton,512.0,1.0,8.0,3.0,0.0,12.0,40.0,263.0,71.0,0.0,374.0,386.0,75.4
60,UC02A,Fulton,5609.0,21.0,65.0,44.0,1.0,131.0,316.0,2181.0,1140.0,15.0,3652.0,3783.0,67.4
61,UC02B,Fulton,32.0,1.0,5.0,0.0,0.0,6.0,2.0,9.0,3.0,0.0,14.0,20.0,62.5
62,UC02C,Fulton,3614.0,19.0,63.0,15.0,0.0,97.0,135.0,1224.0,131.0,12.0,1502.0,1599.0,44.2
41,SC17A,Fulton,60.0,0.0,0.0,1.0,0.0,1.0,1.0,32.0,10.0,0.0,43.0,44.0,73.3
40,SC15A,Fulton,2482.0,6.0,15.0,4.0,0.0,25.0,130.0,1299.0,107.0,0.0,1536.0,1561.0,62.9
0,CH01,Fulton,376.0,13.0,25.0,15.0,1.0,54.0,9.0,104.0,38.0,3.0,154.0,208.0,55.3
38,SC13,Fulton,2895.0,17.0,69.0,14.0,2.0,102.0,159.0,1323.0,424.0,3.0,1909.0,2011.0,69.5
37,SC11B,Fulton,1691.0,7.0,17.0,9.0,0.0,33.0,113.0,535.0,317.0,2.0,967.0,1000.0,59.1
36,SC11A,Fulton,1656.0,11.0,20.0,7.0,1.0,39.0,137.0,533.0,263.0,19.0,952.0,991.0,59.8
35,SC10,Fulton,1912.0,6.0,12.0,11.0,0.0,29.0,153.0,423.0,182.0,5.0,763.0,792.0,41.4
34,SC09C,Fulton,1852.0,10.0,20.0,10.0,0.0,40.0,181.0,532.0,296.0,0.0,1009.0,1049.0,56.6
33,SC09B,Fulton,1920.0,9.0,16.0,4.0,0.0,29.0,120.0,722.0,367.0,2.0,1211.0,1240.0,64.6
32,SC09A,Fulton,1865.0,8.0,19.0,8.0,1.0,36.0,176.0,530.0,231.0,4.0,941.0,977.0,52.4
64,UC032,Fulton,393.0,5.0,14.0,16.0,0.0,35.0,19.0,130.0,75.0,1.0,225.0,260.0,66.2
138,Mt Carmel,Henry,5335.0,92.0,482.0,156.0,0.0,730.0,305.0,2035.0,879.0,1.0,3220.0,3950.0,74.0
139,Red Oak,Henry,5610.0,82.0,325.0,143.0,0.0,550.0,348.0,2227.0,858.0,1.0,3434.0,3984.0,71.0
140,Hickory Flat,Henry,5122.0,128.0,783.0,248.0,0.0,1159.0,314.0,1638.0,711.0,1.0,2664.0,3823.0,74.6
141,Stockbridge East-West,Henry,6541.0,86.0,349.0,166.0,1.0,602.0,395.0,2173.0,1109.0,3.0,3680.0,4282.0,65.5
142,Stagecoach,Henry,3546.0,106.0,624.0,159.0,1.0,890.0,205.0,874.0,376.0,2.0,1457.0,2347.0,66.2
143,Cotton Indian,Henry,4785.0,184.0,857.0,223.0,1.0,1265.0,191.0,1339.0,445.0,3.0,1978.0,3243.0,67.8
144,Pleasant Grove,Henry,4135.0,189.0,1080.0,271.0,0.0,1540.0,122.0,1008.0,464.0,4.0,1598.0,3138.0,75.9
148,Ellenwood,Henry,4275.0,43.0,296.0,108.0,0.0,447.0,180.0,1737.0,777.0,1.0,2695.0,3142.0,73.5
146,Swan Lake,Henry,3642.0,190.0,872.0,188.0,0.0,1250.0,164.0,728.0,359.0,2.0,1253.0,2503.0,68.7
147,Shakerag,Henry,4047.0,49.0,201.0,56.0,0.0,306.0,242.0,1661.0,684.0,1.0,2588.0,2894.0,71.5
149,Pates Creek,Henry,5214.0,128.0,824.0,379.0,2.0,1333.0,198.0,1282.0,742.0,2.0,2224.0,3557.0,68.2
150,Flippen,Henry,4430.0,103.0,546.0,249.0,1.0,899.0,189.0,1487.0,774.0,0.0,2450.0,3349.0,75.6
151,Stockbridge Central,Henry,4416.0,71.0,416.0,140.0,0.0,627.0,278.0,1258.0,526.0,2.0,2064.0,2691.0,60.9
152,Lighthouse,Henry,3693.0,111.0,572.0,185.0,0.0,868.0,187.0,1131.0,471.0,0.0,1789.0,2657.0,71.9
153,Dutchtown,Henry,2751.0,116.0,582.0,207.0,0.0,905.0,147.0,583.0,345.0,2.0,1077.0,1982.0,72.0
145,Austin Road,Henry,3374.0,76.0,518.0,153.0,0.0,747.0,133.0,1179.0,421.0,2.0,1735.0,2482.0,73.6
137,North Hampton,Henry,7156.0,226.0,1276.0,290.0,0.0,1792.0,341.0,1835.0,848.0,1.0,3025.0,4817.0,67.3
