Precinct,County,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,
Pembroke,Bryan,2653,241,749,140,0,1130,112,297,106,0,515,1645,
Danielsiding,Bryan,2291,244,848,171,0,1263,47,190,151,0,388,1651,
Ellabell,Bryan,2341,377,798,127,1,1303,60,136,88,0,284,1587,
Black Creek,Bryan,2995,344,918,171,1,1434,92,190,99,0,381,1815,
Ways Station,Bryan,1974,185,474,80,1,740,58,261,184,1,504,1244,
RH Rec Complex,Bryan,3264,211,845,141,1,1198,111,439,276,0,826,2024,
JF Gregory Park,Bryan,2885,161,1338,234,0,1733,34,287,170,0,491,2224,
Keller,Bryan,4270,327,1784,241,0,2352,80,494,303,0,877,3229,
Hwy 144 East,Bryan,5365,334,1944,372,0,2650,107,790,359,1,1257,3907,
Public Safety Complex,Bryan,2570,211,644,109,0,964,95,349,167,1,612,1576,
