Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Tarboro,Camden,979,187,188,102,0,477,62,72,15,0,149,626,
Waverly,Camden,1530,252,436,236,0,924,67,117,57,0,241,1165,
Woodbine,Camden,1973,229,510,208,1,948,98,167,56,0,321,1269,
Browntown,Camden,698,104,170,71,0,345,23,53,17,0,93,438,
Harrietts Bluff,Camden,1834,318,549,190,0,1057,76,156,31,1,264,1321,
West Kingsland,Camden,2782,295,877,241,0,1413,70,244,41,0,355,1768,
North Kingsland,Camden,2599,236,687,237,0,1160,65,191,66,0,322,1482,
Kingsland,Camden,2274,210,590,178,0,978,41,151,44,0,236,1214,
East Kingsland,Camden,6866,532,2248,723,0,3503,132,486,132,0,750,4253,
North St Marys,Camden,2095,189,385,149,1,724,53,116,25,0,194,918,
St Marys,Camden,3218,368,895,341,0,1604,103,214,66,0,383,1987,
South St Marys,Camden,2139,196,704,341,1,1242,55,154,44,1,254,1496,
Mush Bluff,Camden,2816,315,907,320,1,1543,71,232,71,0,374,1917,
West St Marys,Camden,3147,225,1232,574,0,2031,38,264,75,0,377,2408,
