Precinct,County,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,
Tarboro,Camden,979,212,208,62,0,482,49,56,75,0,180,662,
Waverly,Camden,1530,269,469,151,0,889,67,94,156,0,317,1206,
Woodbine,Camden,1973,251,477,104,1,833,94,236,194,0,524,1357,
Browntown,Camden,698,116,206,52,0,374,15,23,38,0,76,450,
Harrietts Bluff,Camden,1834,356,573,130,0,1059,51,149,94,1,295,1354,
West Kingsland,Camden,2782,295,879,164,0,1338,85,269,123,0,477,1815,
North Kingsland,Camden,2599,188,493,81,0,762,124,402,240,0,766,1528,
Kingsland,Camden,2274,170,494,99,0,763,82,262,132,0,476,1239,
East Kingsland,Camden,6866,492,1913,415,0,2820,192,896,485,0,1573,4393,
North St Marys,Camden,2095,151,317,77,0,545,98,197,101,1,397,942,
St Marys,Camden,3218,333,712,175,0,1220,142,417,266,0,825,2045,
South St Marys,Camden,2139,201,636,164,1,1002,49,247,233,1,530,1532,
Mush Bluff,Camden,2816,304,828,185,1,1318,88,317,218,0,623,1941,
West St Marys,Camden,3147,223,1204,388,0,1815,52,324,280,0,656,2471,
