Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Kansas,Carroll,1165,357,229,90,0,676,80,44,11,0,135,811,
Bowdon,Carroll,3289,556,646,252,0,1454,159,155,81,1,396,1850,
Sandhill,Carroll,4459,483,1354,343,2,2182,129,328,80,1,538,2720,
Center Point,Carroll,1775,380,527,165,1,1073,89,120,24,0,233,1306,
Mt Zion,Carroll,2641,542,601,211,0,1354,138,156,36,0,330,1684,
Burwell,Carroll,1564,337,370,143,0,850,91,78,24,2,195,1045,
Clem,Carroll,3695,410,1342,357,2,2111,121,314,65,0,500,2611,
Bowdon Junction,Carroll,1547,227,374,116,0,717,55,111,33,0,199,916,
Tyus,Carroll,1920,430,422,144,1,997,135,118,33,0,286,1283,
Fairfield,Carroll,3867,773,1121,460,0,2354,175,228,51,0,454,2808,
Hulett,Carroll,2408,443,711,188,0,1342,105,173,38,0,316,1658,
Bethany,Carroll,4779,439,1227,362,1,2029,113,303,81,0,497,2526,
V R County South,Carroll,2942,276,945,282,1,1504,67,233,49,0,349,1853,
V R County North,Carroll,5472,537,1633,496,0,2666,136,371,107,0,614,3280,
Villa Rica City,Carroll,7250,587,1891,698,1,3177,161,588,146,0,895,4072,
Temple County,Carroll,4354,582,1177,326,4,2089,162,270,71,0,503,2592,
Temple City,Carroll,3700,564,924,267,3,1758,139,240,67,0,446,2204,
Whitesburg,Carroll,2190,461,505,169,0,1135,114,122,35,0,271,1406,
Roopville,Carroll,3200,544,905,250,3,1702,130,216,64,1,411,2113,
West Carrollton,Carroll,4380,317,1018,371,2,1708,84,254,76,0,414,2122,
Lakeshore Rec Center,Carroll,1671,117,506,178,1,802,30,126,20,0,176,978,
Bonner,Carroll,3736,272,1269,328,2,1871,64,279,56,0,399,2270,
University of W GA,Carroll,2164,224,631,181,2,1038,44,106,28,0,178,1216,
County Admin Bldg,Carroll,2620,193,916,283,1,1393,48,191,49,1,289,1682,
Tabernacle Church,Carroll,1628,128,533,225,1,887,37,127,42,0,206,1093,
Burson Center,Carroll,1466,132,449,156,1,738,37,128,24,0,189,927,
Old Camp Church,Carroll,2297,338,764,227,2,1331,77,163,36,0,276,1607,
Oak Grove,Carroll,1668,261,456,122,0,839,58,128,35,0,221,1060,
