Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Kansas,Carroll,1165,300,195,64,0,559,134,75,35,0,244,803,
Bowdon,Carroll,3289,503,571,235,0,1309,206,222,99,1,528,1837,
Sandhill,Carroll,4459,423,1162,287,3,1875,185,516,135,0,836,2711,
Center Point,Carroll,1775,318,433,123,1,875,147,201,66,0,414,1289,
Mt Zion,Carroll,2641,498,554,174,0,1226,182,199,73,0,454,1680,
Burwell,Carroll,1564,307,316,120,2,745,114,120,51,0,285,1030,
Clem,Carroll,3695,366,1179,285,2,1832,162,466,140,0,768,2600,
Bowdon Junction,Carroll,1547,215,347,97,0,659,68,141,53,0,262,921,
Tyus,Carroll,1920,394,366,109,1,870,163,170,64,0,397,1267,
Fairfield,Carroll,3867,636,920,346,0,1902,306,413,160,0,879,2781,
Hulett,Carroll,2408,362,599,142,0,1103,183,281,80,0,544,1647,
Bethany,Carroll,4779,408,1113,315,1,1837,145,417,124,0,686,2523,
V R County South,Carroll,2942,259,806,221,1,1287,86,362,104,0,552,1839,
V R County North,Carroll,5472,488,1414,425,0,2327,182,570,179,0,931,3258,
Villa Rica City,Carroll,7250,574,1830,582,1,2987,173,644,251,0,1068,4055,
Temple County,Carroll,4354,536,1008,265,3,1812,202,433,133,1,769,2581,
Temple City,Carroll,3700,532,849,216,3,1600,173,309,114,0,596,2196,
Whitesburg,Carroll,2190,367,428,108,0,903,206,186,94,0,486,1389,
Roopville,Carroll,3200,454,780,198,3,1435,208,346,113,1,668,2103,
West Carrollton,Carroll,4380,328,982,332,2,1644,80,297,110,0,487,2131,
Lakeshore Rec Center,Carroll,1671,109,469,146,1,725,36,168,54,0,258,983,
Bonner,Carroll,3736,247,1126,280,2,1655,89,416,104,0,609,2264,
University of W GA,Carroll,2164,222,562,152,2,938,45,165,59,0,269,1207,
County Admin Bldg,Carroll,2620,194,800,253,0,1247,49,308,86,2,445,1692,
Tabernacle Church,Carroll,1628,113,469,166,1,749,52,187,92,0,331,1080,
Burson Center,Carroll,1466,129,407,133,1,670,40,175,42,0,257,927,
Old Camp Church,Carroll,2297,289,664,194,1,1148,124,241,67,1,433,1581,
Oak Grove,Carroll,1668,213,417,110,0,740,103,163,46,0,312,1052,
