Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Coldwater,Chattooga,248,17,72,25,0,114,15,33,16,0,64,178,
Dirtseller,Chattooga,186,34,48,9,0,91,14,20,0,0,34,125,
Haywood,Chattooga,169,55,14,7,1,77,21,8,1,0,30,107,
Lyerly,Chattooga,934,187,229,52,1,469,52,68,20,0,140,609,
Trion,Chattooga,3496,453,914,275,0,1642,157,327,100,1,585,2227,
Summerville,Chattooga,5155,458,1410,441,1,2310,190,527,215,1,933,3243,
Teloga,Chattooga,593,57,177,67,0,301,26,76,15,0,117,418,
Dirttown,Chattooga,897,185,214,74,0,473,74,73,35,0,182,655,
Seminole,Chattooga,138,22,29,14,0,65,14,16,5,0,35,100,
Subligna,Chattooga,489,120,85,45,1,251,48,39,16,0,103,354,
Alpine,Chattooga,872,197,168,70,0,435,80,67,26,0,173,608,
Cloudland,Chattooga,378,60,100,37,0,197,25,37,19,0,81,278,
Pennville,Chattooga,588,58,147,36,0,241,14,58,10,0,82,323,
