Precinct,County,Registered Voters,Gary Woods (Rep)_Election Day Votes,Gary Woods (Rep)_Advanced Voting Votes,Gary Woods (Rep)_Absentee by Mail Votes,Gary Woods (Rep)_Provisional Votes,Gary Woods (Rep)_Choice Total,Holley Strawn-Gilliland (Ind)_Election Day Votes,Holley Strawn-Gilliland (Ind)_Advanced Voting Votes,Holley Strawn-Gilliland (Ind)_Absentee by Mail Votes,Holley Strawn-Gilliland (Ind)_Provisional Votes,Holley Strawn-Gilliland (Ind)_Choice Total,Total,
Coldwater,Chattooga,248,11,34,8,0,53,29,78,31,0,138,191,
Dirtseller,Chattooga,186,28,38,4,0,70,21,31,9,0,61,131,
Haywood,Chattooga,169,62,19,3,0,84,19,5,5,1,30,114,
Lyerly,Chattooga,934,116,153,34,0,303,146,158,48,1,353,656,
Trion,Chattooga,3496,479,982,234,1,1696,174,356,156,0,686,2382,
Summerville,Chattooga,5155,391,1241,311,1,1944,299,818,376,1,1494,3438,
Teloga,Chattooga,593,61,200,55,0,316,34,73,35,0,142,458,
Dirttown,Chattooga,897,172,203,48,0,423,110,99,65,0,274,697,
Seminole,Chattooga,138,17,14,10,0,41,20,34,11,0,65,106,
Subligna,Chattooga,489,134,79,35,0,248,45,55,27,1,128,376,
Alpine,Chattooga,872,151,162,49,0,362,146,99,51,0,296,658,
Cloudland,Chattooga,378,46,74,20,0,140,43,71,36,0,150,290,
Pennville,Chattooga,588,49,160,35,0,244,31,63,18,0,112,356,
