Precinct,County,Registered Voters,Wes Cantrell (I) (Rep)_Election Day Votes,Wes Cantrell (I) (Rep)_Advanced Voting Votes,Wes Cantrell (I) (Rep)_Absentee by Mail Votes,Wes Cantrell (I) (Rep)_Provisional Votes,Wes Cantrell (I) (Rep)_Choice Total,Charles Ravenscraft (Dem)_Election Day Votes,Charles Ravenscraft (Dem)_Advanced Voting Votes,Charles Ravenscraft (Dem)_Absentee by Mail Votes,Charles Ravenscraft (Dem)_Provisional Votes,Charles Ravenscraft (Dem)_Choice Total,Total,
Avery,Cherokee,3592,362,1136,405,0,1903,56,178,176,0,410,2313,
Ball Ground,Cherokee,4065,508,1720,326,0,2554,66,215,156,0,437,2991,
Bradshaw,Cherokee,4491,485,1707,638,0,2830,94,372,337,0,803,3633,
Conns Creek,Cherokee,895,262,281,61,0,604,20,19,24,0,63,667,
Freehome,Cherokee,5790,713,2202,805,0,3720,88,370,412,0,870,4590,
Hickory Flat,Cherokee,7334,109,410,154,0,673,33,159,156,0,348,1021,
Hightower,Cherokee,3483,481,1423,432,0,2336,48,178,157,0,383,2719,
Macedonia,Cherokee,4853,642,1899,597,0,3138,99,340,323,0,762,3900,
Union Hill,Cherokee,4207,818,1442,525,2,2787,91,250,254,0,595,3382,
Univeter,Cherokee,5434,251,1047,270,0,1568,33,177,134,0,344,1912,
