Precinct,County,Registered Voters,Robert Hare (Rep)_Election Day Votes,Robert Hare (Rep)_Advanced Voting Votes,Robert Hare (Rep)_Absentee by Mail Votes,Robert Hare (Rep)_Provisional Votes,Robert Hare (Rep)_Choice Total,John Q. Williams (Dem)_Election Day Votes,John Q. Williams (Dem)_Advanced Voting Votes,John Q. Williams (Dem)_Absentee by Mail Votes,John Q. Williams (Dem)_Provisional Votes,John Q. Williams (Dem)_Choice Total,Total,
1A,Clarke,3017,284,240,185,0,709,274,459,455,3,1191,1900,
1B,Clarke,3645,141,404,253,3,801,198,734,738,1,1671,2472,
1C,Clarke,2242,154,270,168,0,592,136,527,552,0,1215,1807,
1D,Clarke,2830,195,369,277,1,842,145,561,725,0,1431,2273,
2A,Clarke,4341,147,166,125,0,438,451,736,661,1,1849,2287,
2B,Clarke,5136,120,156,54,1,331,420,1121,741,4,2286,2617,
3A,Clarke,2938,50,102,45,2,199,253,564,440,3,1260,1459,
3B,Clarke,4122,115,242,75,1,433,262,972,551,3,1788,2221,
4A,Clarke,2072,80,197,74,0,351,168,446,328,1,943,1294,
4B,Clarke,4096,213,449,142,1,805,259,981,635,1,1876,2681,
5A,Clarke,3007,109,373,208,1,691,180,831,587,0,1598,2289,
5B,Clarke,3030,127,269,192,1,589,247,642,636,0,1525,2114,
5C,Clarke,2053,52,79,49,0,180,136,782,472,1,1391,1571,
5D,Clarke,3087,113,219,118,0,450,302,639,447,4,1392,1842,
6A,Clarke,3780,205,640,363,1,1209,197,604,608,3,1412,2621,
6B,Clarke,3865,173,462,322,0,957,233,717,759,1,1710,2667,
6C,Clarke,3129,204,461,272,0,937,156,555,579,0,1290,2227,
6D,Clarke,1701,101,153,68,0,322,118,445,381,0,944,1266,
7A,Clarke,2968,167,402,246,1,816,176,560,565,0,1301,2117,
7B,Clarke,3166,133,450,252,0,835,153,602,573,2,1330,2165,
7C,Clarke,2733,177,369,212,1,759,162,592,509,1,1264,2023,
8A,Clarke,3319,136,277,227,0,640,188,637,664,3,1492,2132,
8B,Clarke,2317,112,184,161,0,457,181,427,471,0,1079,1536,
8C,Clarke,3910,169,342,192,1,704,275,782,701,3,1761,2465,
