Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Boulevard,DeKalb,4675,220,1650,998,1,2869,57,248,177,0,482,3351,
Briar Vista Elem,DeKalb,2965,0,4,5,0,9,0,0,1,0,1,10,
Burgess Elem,DeKalb,3493,164,1174,724,5,2067,45,197,146,0,388,2455,
Coan Recreation Center,DeKalb,4230,173,1351,749,1,2274,47,249,173,1,470,2744,
Candler Park,DeKalb,4018,112,1497,1112,1,2722,32,256,199,0,487,3209,
Druid Hills High,DeKalb,2725,12,77,42,1,132,9,13,10,0,32,164,
East Lake,DeKalb,4139,214,1385,760,3,2362,49,238,160,2,449,2811,
Emory South,DeKalb,3241,1,7,2,0,10,1,4,2,0,7,17,
Emory Road,DeKalb,2290,63,362,203,3,631,24,45,39,2,110,741,
Johnson Estates,DeKalb,1600,57,477,478,0,1012,21,130,121,0,272,1284,
Lin-Mary Lin Elem,DeKalb,3009,133,962,773,6,1874,37,175,171,0,383,2257,
Metropolitan,DeKalb,3405,148,1217,632,5,2002,40,163,120,0,323,2325,
Silver Lake,DeKalb,4979,0,3,0,0,3,0,0,0,0,0,3,
