Precinct,County,Registered Voters,Alan Cole (Rep)_Election Day Votes,Alan Cole (Rep)_Advanced Voting Votes,Alan Cole (Rep)_Absentee by Mail Votes,Alan Cole (Rep)_Provisional Votes,Alan Cole (Rep)_Choice Total,Matthew Wilson (I) (Dem)_Election Day Votes,Matthew Wilson (I) (Dem)_Advanced Voting Votes,Matthew Wilson (I) (Dem)_Absentee by Mail Votes,Matthew Wilson (I) (Dem)_Provisional Votes,Matthew Wilson (I) (Dem)_Choice Total,Total,
Ashford Dunwoody Rd,DeKalb,2966,205,650,241,4,1100,60,757,515,2,1334,2434,
Ashford Parkside,DeKalb,3664,190,642,293,1,1126,97,782,699,5,1583,2709,
Briarwood,DeKalb,2428,122,410,132,1,665,99,570,407,0,1076,1741,
Brookhaven,DeKalb,3444,246,703,235,1,1185,142,822,559,2,1525,2710,
Cross Keys High,DeKalb,2260,103,269,142,0,514,105,500,463,3,1071,1585,
Chamblee 2,DeKalb,3137,18,74,17,0,109,8,92,83,0,183,292,
Huntley Hills Elem,DeKalb,3508,54,150,52,0,256,72,333,158,0,563,819,
Kittredge Elem,DeKalb,2161,141,482,197,2,822,55,512,403,2,972,1794,
Montgomery Elem,DeKalb,2446,172,482,246,3,903,77,587,442,3,1109,2012,
Silver Lake,DeKalb,4979,201,1027,383,1,1612,136,1074,785,2,1997,3609,
Skyland,DeKalb,2100,3,1,0,0,4,1,1,4,0,6,10,
Woodward,DeKalb,3193,54,214,127,0,395,79,527,470,2,1078,1473,
