Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Palmyra Methodist,Dougherty,2761,375,398,265,5,1043,146,163,119,4,432,1475,
Sherwood Elementary,Dougherty,3205,469,546,344,1,1360,159,215,131,0,505,1865,
Covenant Church,Dougherty,2334,393,341,237,1,972,156,139,90,1,386,1358,
Greenbriar Church,Dougherty,3885,475,935,591,4,2005,157,359,249,4,769,2774,
Westover High School,Dougherty,3394,468,774,452,0,1694,146,305,191,0,642,2336,
Merry Acres Middle,Dougherty,2432,394,442,272,8,1116,123,169,118,2,412,1528,
Darton College,Dougherty,4289,459,880,496,7,1842,143,259,210,1,613,2455,
Westtown Elementary,Dougherty,3265,426,487,458,1,1372,104,154,202,0,460,1832,
2nd Mt Zion Church,Dougherty,1465,239,205,166,2,612,138,90,91,0,319,931,
Mt Zion Center,Dougherty,3638,433,430,437,2,1302,135,130,174,0,439,1741,
Alice Coachman Elementary,Dougherty,750,102,119,138,0,359,30,43,64,0,137,496,
Carver Teen Center,Dougherty,1667,187,117,156,3,463,50,39,75,0,164,627,
Shiloh Baptist Church,Dougherty,1510,208,141,145,0,494,57,43,72,0,172,666,
Litman Cathedral,Dougherty,1486,190,141,146,20,497,58,50,55,4,167,664,
Phoebe Healthworks,Dougherty,1574,175,145,145,1,466,59,41,51,0,151,617,
Turner Elementary,Dougherty,1205,87,58,49,5,199,32,19,22,1,74,273,
Jackson Heights Elementary,Dougherty,2549,336,223,241,0,800,70,93,115,0,278,1078,
Bill Miller Center,Dougherty,2404,298,302,194,5,799,80,97,90,0,267,1066,
Radium Middle School,Dougherty,693,107,107,63,0,277,39,31,41,0,111,388,
Putney 1st Baptist Church,Dougherty,2819,525,375,291,1,1192,203,146,129,0,478,1670,
International Studies,Dougherty,1042,135,173,151,0,459,51,71,59,1,182,641,
Phoebe East,Dougherty,2965,417,323,269,4,1013,118,103,121,0,342,1355,
Pine Bluff Baptist Church,Dougherty,2221,319,295,256,0,870,132,112,130,0,374,1244,
Albany Middle School,Dougherty,1963,261,202,173,2,638,98,78,81,0,257,895,
Christ Church,Dougherty,1879,366,373,273,1,1013,155,152,102,0,409,1422,
Lamar Reese Elementary,Dougherty,1098,139,139,167,3,448,40,63,88,1,192,640,
1st Christian Church,Dougherty,1505,262,292,192,1,747,102,105,75,0,282,1029,
Lovett Hall,Dougherty,1174,168,142,21,1,332,29,22,12,0,63,395,
