Precinct,County,Registered Voters,Tracy Taylor (Rep)_Election Day Votes,Tracy Taylor (Rep)_Advanced Voting Votes,Tracy Taylor (Rep)_Absentee by Mail Votes,Tracy Taylor (Rep)_Provisional Votes,Tracy Taylor (Rep)_Choice Total,Freddie Powell Sims (I) (Dem)_Election Day Votes,Freddie Powell Sims (I) (Dem)_Advanced Voting Votes,Freddie Powell Sims (I) (Dem)_Absentee by Mail Votes,Freddie Powell Sims (I) (Dem)_Provisional Votes,Freddie Powell Sims (I) (Dem)_Choice Total,Total,
Palmyra Methodist,Dougherty,2761,299,283,173,3,758,230,294,230,8,762,1520,
Sherwood Elementary,Dougherty,3205,257,274,164,0,695,372,502,319,1,1194,1889,
Covenant Church,Dougherty,2334,311,209,113,0,633,250,281,225,2,758,1391,
Greenbriar Church,Dougherty,3885,397,647,302,5,1351,252,674,590,4,1520,2871,
Westover High School,Dougherty,3394,310,407,229,0,946,321,702,446,0,1469,2415,
Merry Acres Middle,Dougherty,2432,309,304,148,2,763,221,317,264,8,810,1573,
Darton College,Dougherty,4289,148,264,123,2,537,452,900,612,7,1971,2508,
Westtown Elementary,Dougherty,3265,52,59,43,0,154,478,577,650,1,1706,1860,
2nd Mt Zion Church,Dougherty,1465,248,164,104,1,517,140,144,171,2,457,974,
Mt Zion Center,Dougherty,3638,46,24,18,0,88,508,540,629,2,1679,1767,
Alice Coachman Elementary,Dougherty,750,8,5,9,0,22,121,157,198,0,476,498,
Carver Teen Center,Dougherty,1667,18,9,10,0,37,217,145,230,3,595,632,
Shiloh Baptist Church,Dougherty,1510,28,22,11,0,61,238,164,222,0,624,685,
Litman Cathedral,Dougherty,1486,27,19,7,3,56,221,176,206,20,623,679,
Phoebe Healthworks,Dougherty,1574,80,39,27,0,146,154,140,181,1,476,622,
Turner Elementary,Dougherty,1205,13,9,6,0,28,104,65,63,5,237,265,
Jackson Heights Elementary,Dougherty,2549,36,12,12,0,60,363,313,364,0,1040,1100,
Bill Miller Center,Dougherty,2404,58,43,28,1,130,310,355,279,4,948,1078,
Radium Middle School,Dougherty,693,60,28,27,0,115,94,113,80,0,287,402,
Putney 1st Baptist Church,Dougherty,2819,473,224,124,1,822,265,324,309,0,898,1720,
International Studies,Dougherty,1042,83,66,38,0,187,104,180,181,1,466,653,
Phoebe East,Dougherty,2965,92,56,52,1,201,446,366,357,3,1172,1373,
Pine Bluff Baptist Church,Dougherty,2221,212,130,113,0,455,258,299,302,0,859,1314,
Albany Middle School,Dougherty,1963,35,24,17,0,76,325,256,247,4,832,908,
Christ Church,Dougherty,1879,411,282,159,0,852,130,266,229,1,626,1478,
Lamar Reese Elementary,Dougherty,1098,21,16,11,1,49,165,185,256,4,610,659,
1st Christian Church,Dougherty,1505,217,217,145,0,579,159,192,142,1,494,1073,
Lovett Hall,Dougherty,1174,22,12,0,0,34,172,153,30,1,356,390,
