Precinct,County,Registered Voters,Tammy M. Howard (I) (Rep)_Election Day Votes,Tammy M. Howard (I) (Rep)_Advanced Voting Votes,Tammy M. Howard (I) (Rep)_Absentee by Mail Votes,Tammy M. Howard (I) (Rep)_Provisional Votes,Tammy M. Howard (I) (Rep)_Choice Total,Annetta Danley Stembridge (Dem)_Election Day Votes,Annetta Danley Stembridge (Dem)_Advanced Voting Votes,Annetta Danley Stembridge (Dem)_Absentee by Mail Votes,Annetta Danley Stembridge (Dem)_Provisional Votes,Annetta Danley Stembridge (Dem)_Choice Total,Total,
Mirror Lake Elementary,Douglas,6745,447,1163,507,2,2119,407,1139,843,3,2392,4511,
Winston,Douglas,1911,115,334,127,0,576,139,381,166,2,688,1264,
Dog River Library,Douglas,4915,416,2037,512,0,2965,87,484,328,0,899,3864,
Atlanta West Pentecostal,Douglas,4076,80,132,76,0,288,381,927,515,1,1824,2112,
Ephesus Baptist Church,Douglas,3930,571,1391,431,0,2393,98,294,235,0,627,3020,
Prays Mill Gym,Douglas,5459,370,1451,502,0,2323,211,799,526,0,1536,3859,
Turner,Douglas,3847,227,562,289,0,1078,285,698,426,0,1409,2487,
First Baptist Lithia Springs,Douglas,1966,142,309,167,2,620,124,295,219,5,643,1263,
Lithia Springs High School,Douglas,6033,105,452,216,0,773,350,1786,1061,1,3198,3971,
Deer Lick,Douglas,3042,114,490,170,1,775,156,595,300,0,1051,1826,
Golden Methodist Church,Douglas,5634,101,315,182,1,599,425,1520,880,3,2828,3427,
Old Courthouse,Douglas,5675,152,645,358,0,1155,328,1097,661,4,2090,3245,
Beulah Baptist Church,Douglas,3500,251,625,300,1,1177,209,568,336,0,1113,2290,
Stewart,Douglas,3208,74,168,82,0,324,302,834,486,1,1623,1947,
Arbor Station,Douglas,2990,147,349,157,0,653,225,645,356,9,1235,1888,
Bright Star,Douglas,2703,251,577,221,1,1050,133,342,261,1,737,1787,
Dorsett Shoals,Douglas,3901,325,797,338,0,1460,170,459,359,1,989,2449,
Chapel Hill,Douglas,4016,144,548,192,0,884,234,1095,638,6,1973,2857,
Church At Chapel Hill,Douglas,6353,197,965,347,0,1509,342,1788,921,0,3051,4560,
Chestnut Log,Douglas,5177,130,423,202,1,756,284,1087,598,4,1973,2729,
St Julians Episcopal,Douglas,2253,184,411,206,0,801,132,310,253,0,695,1496,
Lutheran Church-GS,Douglas,4149,201,696,313,1,1211,193,1024,618,1,1836,3047,
First Baptist Douglasville,Douglas,2478,129,449,248,0,826,93,541,393,0,1027,1853,
Factory Shoals,Douglas,4359,129,523,213,1,866,207,1326,673,0,2206,3072,
Boundary Waters,Douglas,4220,52,337,77,1,467,241,1529,636,0,2406,2873,
