Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Colwell,Fannin,1105,200,222,141,0,563,79,108,49,0,236,799,
Fairplay,Fannin,1262,204,256,123,0,583,94,89,40,0,223,806,
Flinthill,Fannin,3202,442,574,305,2,1323,209,250,127,0,586,1909,
Hemptown,Fannin,1336,237,261,128,1,627,105,110,51,2,268,895,
Hothouse,Fannin,1290,186,282,144,5,617,77,124,52,2,255,872,
Mineral Bluff,Fannin,1817,234,470,221,0,925,95,151,81,0,327,1252,
Mobile,Fannin,1160,227,201,119,0,547,82,96,43,0,221,768,
Morganton,Fannin,2067,348,464,231,2,1045,113,175,74,0,362,1407,
Noontootla,Fannin,839,128,194,134,0,456,54,69,45,0,168,624,
Skeniah,Fannin,331,76,51,33,2,162,45,23,29,0,97,259,
Sugar Creek,Fannin,2437,278,643,269,0,1190,109,215,102,1,427,1617,
Toccoa,Fannin,3553,374,875,372,2,1623,126,351,157,2,636,2259,
