Precinct,County,Registered Voters,Jan Jones (I) (Rep)_Election Day Votes,Jan Jones (I) (Rep)_Advanced Voting Votes,Jan Jones (I) (Rep)_Absentee by Mail Votes,Jan Jones (I) (Rep)_Provisional Votes,Jan Jones (I) (Rep)_Choice Total,Anthia Owens Carter (Dem)_Election Day Votes,Anthia Owens Carter (Dem)_Advanced Voting Votes,Anthia Owens Carter (Dem)_Absentee by Mail Votes,Anthia Owens Carter (Dem)_Provisional Votes,Anthia Owens Carter (Dem)_Choice Total,Total,
AP04A,Fulton,1760,91,522,238,5,856,35,328,185,0,548,1404,
AP04B,Fulton,473,40,157,25,2,224,6,102,49,4,161,385,
AP07B,Fulton,1882,84,560,192,12,848,52,382,189,8,631,1479,
AP12B,Fulton,947,27,111,79,3,220,51,201,106,2,360,580,
ML01A,Fulton,2795,163,993,254,24,1434,44,557,225,8,834,2268,
ML01B,Fulton,708,43,243,82,0,368,7,110,56,0,173,541,
ML02B,Fulton,1914,143,699,240,1,1083,39,260,138,1,438,1521,
ML03,Fulton,3718,268,1376,460,5,2109,65,511,288,2,866,2975,
ML03A,Fulton,301,16,131,15,2,164,3,31,7,0,41,205,
ML04,Fulton,3322,214,1118,382,22,1736,62,528,287,8,885,2621,
ML05,Fulton,4843,271,1290,451,11,2023,115,914,531,2,1562,3585,
ML06A,Fulton,2181,108,281,93,3,485,94,560,217,5,876,1361,
ML06B,Fulton,3119,134,540,190,4,868,119,770,393,2,1284,2152,
ML07B,Fulton,1675,223,514,174,1,912,43,215,130,0,388,1300,
MP01,Fulton,472,127,34,24,5,190,83,36,54,1,174,364,
RW09,Fulton,4450,300,1460,758,1,2519,62,652,604,1,1319,3838,
RW09A,Fulton,1892,135,679,81,6,901,30,294,60,0,384,1285,
RW12,Fulton,3899,307,1176,609,3,2095,72,696,660,1,1429,3524,
RW12A,Fulton,2458,145,674,91,3,913,63,448,88,2,601,1514,
RW19,Fulton,2147,132,721,237,1,1091,37,362,217,0,616,1707,
