Precinct,County,Registered Voters,David Callahan (Rep)_Election Day Votes,David Callahan (Rep)_Advanced Voting Votes,David Callahan (Rep)_Absentee by Mail Votes,David Callahan (Rep)_Provisional Votes,David Callahan (Rep)_Choice Total,Debra Bazemore (I) (Dem)_Election Day Votes,Debra Bazemore (I) (Dem)_Advanced Voting Votes,Debra Bazemore (I) (Dem)_Absentee by Mail Votes,Debra Bazemore (I) (Dem)_Provisional Votes,Debra Bazemore (I) (Dem)_Choice Total,Total,
CP05B,Fulton,153,1,2,1,1,5,19,37,9,3,68,73,
CP06A,Fulton,732,4,7,1,0,12,49,126,38,0,213,225,
CP07B,Fulton,7,0,1,0,0,1,2,1,0,0,3,4,
CP081,Fulton,373,4,2,0,0,6,31,54,15,5,105,111,
CP083,Fulton,240,2,0,0,0,2,11,19,3,0,33,35,
CP084,Fulton,1,0,0,0,0,0,0,0,0,0,0,0,
CP08A,Fulton,756,9,4,0,0,13,57,81,28,0,166,179,
SC08D,Fulton,605,0,3,4,0,7,39,231,76,0,346,353,
SC09A,Fulton,1865,11,23,10,0,44,170,524,222,2,918,962,
SC09C,Fulton,1852,16,26,8,0,50,172,524,292,0,988,1038,
SC10,Fulton,1912,11,18,10,0,39,151,417,179,3,750,789,
SC11A,Fulton,1656,8,17,8,0,33,141,533,262,16,952,985,
SC23A,Fulton,3854,30,33,16,0,79,314,1121,634,11,2080,2159,
SC23C,Fulton,2606,20,30,9,0,59,198,871,393,2,1464,1523,
SC27,Fulton,2361,10,25,13,0,48,145,719,464,0,1328,1376,
UC01B,Fulton,428,1,4,0,2,7,37,138,31,4,210,217,
