Precinct,County,Registered Voters,Steve Gooch (I) (Rep)_Election Day Votes,Steve Gooch (I) (Rep)_Advanced Voting Votes,Steve Gooch (I) (Rep)_Absentee by Mail Votes,Steve Gooch (I) (Rep)_Provisional Votes,Steve Gooch (I) (Rep)_Choice Total,June Krise (Dem)_Election Day Votes,June Krise (Dem)_Advanced Voting Votes,June Krise (Dem)_Absentee by Mail Votes,June Krise (Dem)_Provisional Votes,June Krise (Dem)_Choice Total,Total,
Ellijay South,Gilmer,3172,358,1066,316,2,1742,55,194,218,0,467,2209,
Cartecay,Gilmer,1598,399,460,173,2,1034,22,58,81,0,161,1195,
Tails Creek,Gilmer,1782,433,454,131,0,1018,51,60,47,0,158,1176,
Town Creek,Gilmer,1234,296,321,91,0,708,30,25,49,0,104,812,
Leaches,Gilmer,2939,525,901,297,2,1725,47,168,160,0,375,2100,
Cherry Log,Gilmer,926,241,209,95,0,545,46,63,63,0,172,717,
Boardtown,Gilmer,1391,290,478,170,3,941,24,64,107,1,196,1137,
Mountaintown,Gilmer,1139,266,342,115,1,724,22,59,41,0,122,846,
East Ellijay,Gilmer,1655,227,592,192,0,1011,30,99,67,0,196,1207,
Ellijay North,Gilmer,1810,280,558,180,1,1019,23,104,69,0,196,1215,
Yukon,Gilmer,1288,347,337,111,0,795,25,43,52,0,120,915,
Big Creek,Gilmer,1479,361,389,151,0,901,31,61,103,0,195,1096,
Ellijay Northeast,Gilmer,1851,237,661,184,0,1082,17,117,124,0,258,1340,
