Precinct,County,Registered Voters,Andrew Clyde (Rep)_Election Day Votes,Andrew Clyde (Rep)_Advanced Voting Votes,Andrew Clyde (Rep)_Absentee by Mail Votes,Andrew Clyde (Rep)_Provisional Votes,Andrew Clyde (Rep)_Choice Total,Devin Pandy (Dem)_Election Day Votes,Devin Pandy (Dem)_Advanced Voting Votes,Devin Pandy (Dem)_Absentee by Mail Votes,Devin Pandy (Dem)_Provisional Votes,Devin Pandy (Dem)_Choice Total,Total,
Ellijay South,Gilmer,3172,360,1065,301,2,1728,53,198,231,0,482,2210,
Cartecay,Gilmer,1598,403,464,176,2,1045,22,57,79,0,158,1203,
Tails Creek,Gilmer,1782,441,453,130,0,1024,49,63,52,0,164,1188,
Town Creek,Gilmer,1234,299,323,94,0,716,30,27,47,0,104,820,
Leaches,Gilmer,2939,520,899,295,2,1716,53,170,159,0,382,2098,
Cherry Log,Gilmer,926,242,209,97,0,548,43,62,64,0,169,717,
Boardtown,Gilmer,1391,288,474,171,3,936,28,68,104,1,201,1137,
Mountaintown,Gilmer,1139,262,343,114,1,720,28,60,43,0,131,851,
East Ellijay,Gilmer,1655,227,592,189,0,1008,32,99,68,0,199,1207,
Ellijay North,Gilmer,1810,277,562,174,1,1014,21,102,69,0,192,1206,
Yukon,Gilmer,1288,344,338,106,0,788,24,44,56,0,124,912,
Big Creek,Gilmer,1479,361,390,150,0,901,27,62,102,0,191,1092,
Ellijay Northeast,Gilmer,1851,241,662,190,0,1093,12,119,125,0,256,1349,
