Precinct,County,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total,
Sugar Valley,Gordon,1471,409,351,89,1,850,40,43,41,0,124,974,
Plainville,Gordon,2044,515,446,125,3,1089,56,58,67,0,181,1270,
Sonoraville,Gordon,5380,1107,1642,366,2,3117,138,221,153,0,512,3629,
Pine Chapel,Gordon,1071,311,255,55,0,621,21,27,37,0,85,706,
Oostanaula,Gordon,667,207,111,65,0,383,27,28,28,0,83,466,
Oakman,Gordon,1439,423,242,86,0,751,35,42,46,0,123,874,
Gordon County,Gordon,6423,804,1846,450,2,3102,172,374,225,0,771,3873,
Calhoun City,Gordon,9532,903,2511,611,2,4027,353,801,505,0,1659,5686,
Lily Pond,Gordon,1914,351,565,141,0,1057,43,79,80,0,202,1259,
Fairmount,Gordon,1991,660,348,164,2,1174,64,43,53,0,160,1334,
Red Bud,Gordon,2965,616,857,144,1,1618,87,151,97,0,335,1953,
Resaca,Gordon,1532,385,322,111,1,819,45,49,33,0,127,946,
