Precinct,County,Registered Voters,Richard Steele (I) (Rep)_Election Day Votes,Richard Steele (I) (Rep)_Advanced Voting Votes,Richard Steele (I) (Rep)_Absentee by Mail Votes,Richard Steele (I) (Rep)_Provisional Votes,Richard Steele (I) (Rep)_Choice Total,Tiffany Porter (Dem)_Election Day Votes,Tiffany Porter (Dem)_Advanced Voting Votes,Tiffany Porter (Dem)_Absentee by Mail Votes,Tiffany Porter (Dem)_Provisional Votes,Tiffany Porter (Dem)_Choice Total,Total,
HARBINS A,Gwinnett,7182,388,1589,552,4,2533,317,1508,818,3,2646,5179,
ROCKBRIDGE A,Gwinnett,3987,115,296,181,0,592,250,1265,626,1,2142,2734,
DACULA,Gwinnett,4777,256,963,277,1,1497,230,1069,573,1,1873,3370,
SUWANEE A,Gwinnett,1737,126,320,159,0,605,91,352,176,1,620,1225,
BAYCREEK A,Gwinnett,2720,256,564,339,0,1159,123,485,335,0,943,2102,
GOODWINS A,Gwinnett,3921,302,584,261,2,1149,246,766,513,0,1525,2674,
DULUTH A,Gwinnett,5042,258,959,516,2,1735,191,960,851,0,2002,3737,
DUNCANS A,Gwinnett,4729,373,1587,519,1,2480,105,687,440,1,1233,3713,
PUCKETTS A,Gwinnett,5692,327,2037,689,1,3054,142,764,450,0,1356,4410,
CATES A,Gwinnett,2387,182,489,333,0,1004,104,337,265,1,707,1711,
BERKSHIRE A,Gwinnett,2555,190,247,139,0,576,244,415,305,2,966,1542,
BERKSHIRE B,Gwinnett,5338,131,573,384,2,1090,284,1344,794,5,2427,3517,
DUNCANS C,Gwinnett,3040,343,1066,319,1,1729,77,385,259,0,721,2450,
GARNERS A,Gwinnett,3520,218,842,473,1,1534,118,650,405,2,1175,2709,
LAWRENCEVILLE A,Gwinnett,3635,184,523,303,0,1010,221,596,351,4,1172,2182,
LAWRENCEVILLE B,Gwinnett,5097,150,665,325,3,1143,207,1438,672,0,2317,3460,
MARTINS A,Gwinnett,3303,144,250,136,4,534,311,744,395,2,1452,1986,
MARTINS B,Gwinnett,3001,129,362,195,0,686,273,620,341,2,1236,1922,
MARTINS C,Gwinnett,2549,175,336,226,1,738,223,485,307,5,1020,1758,
PINCKNEYVILLE A,Gwinnett,2791,116,163,93,2,374,324,585,327,5,1241,1615,
PINCKNEYVILLE B,Gwinnett,3485,125,276,159,2,562,285,722,355,5,1367,1929,
PINCKNEYVILLE C,Gwinnett,2082,265,297,307,1,870,107,324,315,4,750,1620,
PINCKNEYVILLE D,Gwinnett,2264,78,145,94,1,318,265,432,201,4,902,1220,
SUGAR HILL A,Gwinnett,4654,414,895,380,3,1692,241,616,414,2,1273,2965,
SUGAR HILL B,Gwinnett,5596,526,1234,449,11,2220,269,882,549,4,1704,3924,
HOG MOUNTAIN A,Gwinnett,5011,328,778,348,1,1455,310,1036,603,1,1950,3405,
HOG MOUNTAIN B,Gwinnett,4583,399,1095,493,2,1989,168,727,573,2,1470,3459,
ROCKYCREEK A,Gwinnett,5939,484,1542,450,0,2476,261,1084,595,3,1943,4419,
CATES B,Gwinnett,1587,152,342,206,2,702,77,223,162,0,462,1164,
CATES C,Gwinnett,2903,177,318,213,1,709,180,767,398,2,1347,2056,
HOG MOUNTAIN D,Gwinnett,3179,284,702,289,1,1276,145,463,355,0,963,2239,
BERKSHIRE D,Gwinnett,2945,156,530,351,1,1038,107,570,461,3,1141,2179,
BERKSHIRE E,Gwinnett,1997,172,478,228,0,878,63,331,260,1,655,1533,
BERKSHIRE F,Gwinnett,2254,182,229,181,0,592,177,369,284,1,831,1423,
CATES D,Gwinnett,3755,249,660,366,0,1275,170,794,529,1,1494,2769,
CATES E,Gwinnett,2942,231,602,358,1,1192,136,559,428,1,1124,2316,
PINCKNEYVILLE E,Gwinnett,2184,125,112,78,3,318,218,480,256,6,960,1278,
PINCKNEYVILLE F,Gwinnett,2546,122,242,141,1,506,226,457,300,2,985,1491,
DUNCANS D,Gwinnett,7153,642,2168,802,3,3615,260,891,625,0,1776,5391,
PINCKNEYVILLE H,Gwinnett,4536,364,782,541,1,1688,208,832,696,2,1738,3426,
BAYCREEK B,Gwinnett,5969,273,677,308,3,1261,420,1700,763,7,2890,4151,
LAWRENCEVILLE C,Gwinnett,3037,308,626,298,0,1232,122,476,310,1,909,2141,
MARTINS D,Gwinnett,2402,94,130,111,2,337,263,451,276,1,991,1328,
ROCKBRIDGE B,Gwinnett,4177,149,354,195,0,698,291,1138,576,1,2006,2704,
GARNERS B,Gwinnett,3178,127,414,243,5,789,177,840,449,1,1467,2256,
CATES F,Gwinnett,1787,218,330,257,0,805,100,284,201,2,587,1392,
CATES G,Gwinnett,2875,217,711,429,0,1357,105,495,367,0,967,2324,
DULUTH B,Gwinnett,3551,276,575,396,3,1250,172,494,509,1,1176,2426,
GARNERS C,Gwinnett,2030,143,308,165,0,616,116,437,240,2,795,1411,
PINCKNEYVILLE I,Gwinnett,2635,113,219,138,0,470,243,546,297,2,1088,1558,
PINCKNEYVILLE J,Gwinnett,2613,80,136,71,0,287,265,629,264,2,1160,1447,
BERKSHIRE G,Gwinnett,2419,176,548,274,0,998,100,505,269,0,874,1872,
CATES H,Gwinnett,3924,116,418,203,0,737,303,926,483,2,1714,2451,
SUGAR HILL C,Gwinnett,5085,624,1290,500,1,2415,205,728,471,0,1404,3819,
SUGAR HILL D,Gwinnett,4624,325,1216,359,5,1905,186,716,423,3,1328,3233,
DULUTH C,Gwinnett,2229,205,332,224,2,763,137,364,304,2,807,1570,
DULUTH D,Gwinnett,5077,242,693,351,9,1295,297,1007,611,10,1925,3220,
PINCKNEYVILLE K,Gwinnett,3754,151,224,138,2,515,363,810,436,10,1619,2134,
PINCKNEYVILLE N,Gwinnett,3819,147,222,85,0,454,436,923,468,6,1833,2287,
LAWRENCEVILLE D,Gwinnett,5012,167,281,213,3,664,428,1075,511,11,2025,2689,
LAWRENCEVILLE E,Gwinnett,2355,165,411,296,1,873,147,371,265,2,785,1658,
PINCKNEYVILLE L,Gwinnett,2330,316,472,540,1,1329,83,234,335,0,652,1981,
PINCKNEYVILLE M,Gwinnett,2673,359,689,499,0,1547,69,267,316,0,652,2199,
GARNERS D,Gwinnett,3490,95,287,232,0,614,236,909,567,0,1712,2326,
BERKSHIRE H,Gwinnett,1987,107,185,160,3,455,153,339,231,2,725,1180,
PINCKNEYVILLE O,Gwinnett,3359,113,273,134,1,521,284,768,324,5,1381,1902,
PUCKETTS E,Gwinnett,5660,302,1110,463,1,1876,233,1089,624,3,1949,3825,
CATES I,Gwinnett,3537,279,625,357,1,1262,172,791,499,1,1463,2725,
CATES J,Gwinnett,3478,256,472,329,3,1060,176,788,493,1,1458,2518,
GOODWINS B,Gwinnett,3960,334,927,407,1,1669,183,600,457,0,1240,2909,
LAWRENCEVILLE F,Gwinnett,4061,184,367,191,1,743,286,1130,572,2,1990,2733,
MARTINS E,Gwinnett,6193,157,237,114,2,510,590,1411,672,5,2678,3188,
PINCKNEYVILLE P,Gwinnett,2185,183,286,271,0,740,172,363,330,2,867,1607,
PINCKNEYVILLE Q,Gwinnett,1915,72,72,42,0,186,275,424,218,3,920,1106,
ROCKBRIDGE C,Gwinnett,5125,138,365,221,2,726,289,1713,954,5,2961,3687,
ROCKBRIDGE D,Gwinnett,3642,78,403,218,1,700,195,1137,605,6,1943,2643,
GOODWINS C,Gwinnett,5804,325,637,386,0,1348,387,1200,834,1,2422,3770,
BAYCREEK K,Gwinnett,3824,174,719,395,0,1288,146,923,481,1,1551,2839,
CATES K,Gwinnett,2810,266,536,292,3,1097,140,522,326,0,988,2085,
BAYCREEK C,Gwinnett,6499,333,1103,418,3,1857,350,1706,844,0,2900,4757,
CATES L,Gwinnett,4185,231,626,363,0,1220,256,933,521,4,1714,2934,
DULUTH E,Gwinnett,4814,228,554,288,1,1071,397,1126,695,7,2225,3296,
GOODWINS D,Gwinnett,4406,408,697,354,1,1460,318,692,518,2,1530,2990,
LAWRENCEVILLE G,Gwinnett,3046,116,341,152,1,610,241,723,400,1,1365,1975,
LAWRENCEVILLE H,Gwinnett,4296,314,821,410,4,1549,213,792,527,2,1534,3083,
MARTINS F,Gwinnett,2570,141,168,110,2,421,232,473,333,3,1041,1462,
PINCKNEYVILLE S,Gwinnett,3374,194,354,250,4,802,323,585,405,3,1316,2118,
ROCKBRIDGE E,Gwinnett,4638,157,357,165,1,680,380,1151,722,3,2256,2936,
SUGAR HILL E,Gwinnett,3589,337,808,348,4,1497,143,616,352,3,1114,2611,
LAWRENCEVILLE I,Gwinnett,3312,218,401,227,0,846,262,624,399,2,1287,2133,
BAYCREEK D,Gwinnett,4609,320,896,386,0,1602,193,1003,584,0,1780,3382,
BERKSHIRE J,Gwinnett,2731,177,618,352,0,1147,99,520,357,2,978,2125,
CATES M,Gwinnett,3988,299,948,540,1,1788,140,735,510,2,1387,3175,
CATES N,Gwinnett,2567,249,584,390,1,1224,115,368,261,0,744,1968,
DULUTH F,Gwinnett,6161,207,419,298,5,929,453,1385,877,14,2729,3658,
DULUTH G,Gwinnett,3067,298,568,378,1,1245,147,452,403,2,1004,2249,
GOODWINS E,Gwinnett,5491,446,931,497,1,1875,307,960,682,1,1950,3825,
GOODWINS F,Gwinnett,3212,206,485,290,0,981,175,576,434,0,1185,2166,
PINCKNEYVILLE T,Gwinnett,3201,219,342,287,3,851,213,569,382,2,1166,2017,
SUWANEE B,Gwinnett,4656,266,1181,495,0,1942,111,904,529,0,1544,3486,
PINCKNEYVILLE U,Gwinnett,2090,207,216,160,0,583,214,393,267,5,879,1462,
PUCKETTS B,Gwinnett,3096,300,895,275,1,1471,106,468,261,0,835,2306,
BERKSHIRE L,Gwinnett,3265,170,284,173,0,627,323,665,423,1,1412,2039,
ROCKBRIDGE F,Gwinnett,5795,84,484,250,1,819,306,2116,826,5,3253,4072,
SUGAR HILL F,Gwinnett,4112,399,910,384,6,1699,203,568,432,2,1205,2904,
SUWANEE C,Gwinnett,5675,364,1123,595,5,2087,194,933,750,2,1879,3966,
CATES O,Gwinnett,1434,180,244,152,1,577,81,245,190,3,519,1096,
BAYCREEK E,Gwinnett,3265,198,458,211,1,868,214,734,395,4,1347,2215,
BERKSHIRE M,Gwinnett,1864,184,364,225,2,775,94,305,223,0,622,1397,
MARTINS G,Gwinnett,2425,141,208,110,0,459,251,497,272,1,1021,1480,
DULUTH H,Gwinnett,2813,182,483,340,3,1008,134,441,451,2,1028,2036,
BERKSHIRE N,Gwinnett,3128,113,785,413,1,1312,88,594,442,0,1124,2436,
PINCKNEYVILLE V,Gwinnett,1706,109,200,117,0,426,111,331,188,2,632,1058,
PINCKNEYVILLE W,Gwinnett,4253,255,552,450,2,1259,256,743,509,5,1513,2772,
MARTINS H,Gwinnett,5037,257,544,393,6,1200,384,1037,645,8,2074,3274,
MARTINS I,Gwinnett,4078,176,357,235,3,771,343,809,504,3,1659,2430,
MARTINS J,Gwinnett,3923,169,251,130,4,554,443,921,487,6,1857,2411,
GARNERS F,Gwinnett,1796,123,359,181,1,664,96,333,226,2,657,1321,
BERKSHIRE O,Gwinnett,2589,191,545,333,0,1069,120,401,326,3,850,1919,
BERKSHIRE P,Gwinnett,1476,100,156,84,1,341,122,243,173,1,539,880,
PINCKNEYVILLE X,Gwinnett,3412,252,618,449,10,1329,157,561,546,7,1271,2600,
ROCKBRIDGE G,Gwinnett,5799,145,429,230,5,809,378,1834,903,11,3126,3935,
PINCKNEYVILLE Y,Gwinnett,3272,112,178,100,0,390,351,643,329,2,1325,1715,
GOODWINS G,Gwinnett,2661,166,291,110,3,570,228,566,344,1,1139,1709,
PINCKNEYVILLE Z,Gwinnett,1898,316,385,342,0,1043,75,189,291,0,555,1598,
PINCKNEYVILLE A1,Gwinnett,2694,332,625,552,0,1509,75,306,378,0,759,2268,
LAWRENCEVILLE J,Gwinnett,2249,156,225,119,0,500,178,538,274,3,993,1493,
GOODWINS H,Gwinnett,2796,227,508,214,0,949,156,515,354,2,1027,1976,
DUNCANS B,Gwinnett,5387,586,1698,536,3,2823,199,729,446,3,1377,4200,
SUWANEE D,Gwinnett,4732,461,1363,583,1,2408,136,656,544,2,1338,3746,
SUWANEE E,Gwinnett,4256,378,1167,541,1,2087,111,696,469,1,1277,3364,
LAWRENCEVILLE K,Gwinnett,3282,273,615,340,0,1228,167,613,431,0,1211,2439,
HARBINS B,Gwinnett,4845,342,1287,337,1,1967,192,854,412,3,1461,3428,
BAYCREEK F,Gwinnett,4608,253,598,267,5,1123,262,1313,625,6,2206,3329,
PUCKETTS C,Gwinnett,3367,269,906,270,1,1446,119,501,294,0,914,2360,
HOG MOUNTAIN C,Gwinnett,4292,359,969,360,1,1689,184,657,463,1,1305,2994,
ROCKYCREEK B,Gwinnett,5061,386,1286,418,1,2091,211,916,453,2,1582,3673,
DULUTH I,Gwinnett,5105,323,1001,746,0,2070,165,684,786,1,1636,3706,
MARTINS K,Gwinnett,5352,225,432,287,0,944,469,1329,755,4,2557,3501,
SUWANEE H,Gwinnett,3785,343,1219,529,0,2091,98,489,371,1,959,3050,
SUGAR HILL G,Gwinnett,2814,303,821,297,0,1421,67,363,330,1,761,2182,
SUWANEE F,Gwinnett,3966,313,836,371,2,1522,158,686,519,2,1365,2887,
LAWRENCEVILLE L,Gwinnett,4802,240,788,398,0,1426,267,1089,649,2,2007,3433,
LAWRENCEVILLE M,Gwinnett,7255,258,622,310,3,1193,515,2003,1007,5,3530,4723,
BAYCREEK G,Gwinnett,6241,280,823,341,0,1444,307,1918,850,1,3076,4520,
BAYCREEK H,Gwinnett,6811,385,1400,589,2,2376,306,1697,841,3,2847,5223,
BAYCREEK I,Gwinnett,5899,265,833,393,6,1497,313,1461,739,5,2518,4015,
BERKSHIRE Q,Gwinnett,1802,168,318,186,1,673,97,276,216,1,590,1263,
GOODWINS I,Gwinnett,2501,253,419,316,0,988,147,439,315,0,901,1889,
DULUTH K,Gwinnett,2786,80,168,92,1,341,227,548,299,1,1075,1416,
HARBINS C,Gwinnett,2850,392,636,196,2,1226,156,583,260,1,1000,2226,
ROCKYCREEK C,Gwinnett,4806,348,1251,400,0,1999,219,902,496,4,1621,3620,
LAWRENCEVILLE N,Gwinnett,2573,187,309,165,0,661,190,453,269,7,919,1580,
PUCKETTS D,Gwinnett,3622,265,988,374,4,1631,135,544,351,1,1031,2662,
SUWANEE G,Gwinnett,3904,322,766,330,0,1418,190,783,502,1,1476,2894,
BAYCREEK J,Gwinnett,4567,205,552,278,0,1035,298,1264,603,5,2170,3205,
