Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Devereux Fire Station,Hancock,1006,105,274,195,1,575,43,84,36,0,163,738,
St Mark,Hancock,576,71,119,68,0,258,20,45,13,0,78,336,
Courthouse,Hancock,931,76,201,132,0,409,32,60,34,1,127,536,
Second Beulah,Hancock,472,41,91,94,0,226,18,30,34,0,82,308,
Mayfield Community Center,Hancock,356,50,43,65,0,158,14,7,20,0,41,199,
Power of God,Hancock,731,74,136,104,1,315,23,34,28,0,85,400,
Warren Chapel,Hancock,268,20,69,61,0,150,9,29,16,0,54,204,
Youth Center,Hancock,975,67,185,170,0,422,33,53,44,0,130,552,
Second Darrien,Hancock,364,58,55,96,0,209,21,19,17,0,57,266,
Sparta 4C,Hancock,148,19,20,43,0,82,7,3,5,0,15,97,
