Precinct,County,Registered Voters,Becky E. Hites (Rep)_Election Day Votes,Becky E. Hites (Rep)_Advanced Voting Votes,Becky E. Hites (Rep)_Absentee by Mail Votes,Becky E. Hites (Rep)_Provisional Votes,Becky E. Hites (Rep)_Choice Total,David Scott (I) (Dem)_Election Day Votes,David Scott (I) (Dem)_Advanced Voting Votes,David Scott (I) (Dem)_Absentee by Mail Votes,David Scott (I) (Dem)_Provisional Votes,David Scott (I) (Dem)_Choice Total,Total,
North Hampton,Henry,7156,226,1276,290,0,1792,341,1835,848,1,3025,4817,
Mt Carmel,Henry,5335,92,482,156,0,730,305,2035,879,1,3220,3950,
Red Oak,Henry,5610,82,325,143,0,550,348,2227,858,1,3434,3984,
Hickory Flat,Henry,5122,128,783,248,0,1159,314,1638,711,1,2664,3823,
Stockbridge East-West,Henry,6541,86,349,166,1,602,395,2173,1109,3,3680,4282,
Stagecoach,Henry,3546,106,624,159,1,890,205,874,376,2,1457,2347,
Cotton Indian,Henry,4785,184,857,223,1,1265,191,1339,445,3,1978,3243,
Pleasant Grove,Henry,4135,189,1080,271,0,1540,122,1008,464,4,1598,3138,
Austin Road,Henry,3374,76,518,153,0,747,133,1179,421,2,1735,2482,
Swan Lake,Henry,3642,190,872,188,0,1250,164,728,359,2,1253,2503,
Shakerag,Henry,4047,49,201,56,0,306,242,1661,684,1,2588,2894,
Ellenwood,Henry,4275,43,296,108,0,447,180,1737,777,1,2695,3142,
Pates Creek,Henry,5214,128,824,379,2,1333,198,1282,742,2,2224,3557,
Flippen,Henry,4430,103,546,249,1,899,189,1487,774,0,2450,3349,
Stockbridge Central,Henry,4416,71,416,140,0,627,278,1258,526,2,2064,2691,
Lighthouse,Henry,3693,111,572,185,0,868,187,1131,471,0,1789,2657,
Dutchtown,Henry,2751,116,582,207,0,905,147,583,345,2,1077,1982,
