Precinct,County,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total,
Locust Grove,Henry,6978,232,1078,253,2,1565,344,1962,891,0,3197,4762,
Westside,Henry,6971,147,333,136,1,617,519,1606,948,3,3076,3693,
Lowes,Henry,9878,297,1468,362,1,2128,541,2591,1418,3,4553,6681,
South Hampton,Henry,5476,227,1305,221,0,1753,252,1201,552,0,2005,3758,
Wesley Lakes,Henry,6144,131,603,197,1,932,401,2004,837,3,3245,4177,
Unity Grove,Henry,4850,170,779,165,1,1115,71,495,263,0,829,1944,
Oakland,Henry,4508,213,949,293,0,1455,214,1034,537,1,1786,3241,
Grove Park,Henry,4079,271,1040,176,0,1487,175,669,347,0,1191,2678,
Lake Haven,Henry,4260,291,1054,274,0,1619,172,886,377,0,1435,3054,
McDonough Central,Henry,4250,96,773,340,0,1209,203,1056,476,0,1735,2944,
