Precinct,County,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total,
Chalybeate,Meriwether,451,169,107,28,0,304,15,7,23,0,45,349,
Gill I,Meriwether,1662,283,342,139,0,764,139,121,130,1,391,1155,
Gill II,Meriwether,1000,43,83,28,0,154,141,142,203,0,486,640,
Odessadale,Meriwether,296,35,84,25,0,144,29,14,37,1,81,225,
Greenville,Meriwether,2009,111,458,127,0,696,99,333,182,0,614,1310,
Lone Oak,Meriwether,1263,157,267,61,0,485,92,150,167,0,409,894,
Luthersville,Meriwether,2760,384,616,166,0,1166,158,268,230,0,656,1822,
Alvaton,Meriwether,1528,249,350,116,1,716,112,121,125,2,360,1076,
Gay,Meriwether,411,85,106,29,0,220,21,16,32,0,69,289,
Woodbury,Meriwether,1363,157,262,90,0,509,157,143,119,0,419,928,
Warm Springs,Meriwether,1161,172,277,91,1,541,90,94,59,0,243,784,
Durand,Meriwether,730,158,145,53,0,356,43,67,54,0,164,520,
Raleigh,Meriwether,501,116,164,38,0,318,13,23,22,0,58,376,
Cove,Meriwether,202,90,29,31,0,150,5,1,6,0,12,162,
