Precinct,County,Registered Voters,Austin Scott (I) (Rep)_Election Day Votes,Austin Scott (I) (Rep)_Advanced Voting Votes,Austin Scott (I) (Rep)_Absentee by Mail Votes,Austin Scott (I) (Rep)_Provisional Votes,Austin Scott (I) (Rep)_Choice Total,Lindsay Holliday (Dem)_Election Day Votes,Lindsay Holliday (Dem)_Advanced Voting Votes,Lindsay Holliday (Dem)_Absentee by Mail Votes,Lindsay Holliday (Dem)_Provisional Votes,Lindsay Holliday (Dem)_Choice Total,Total,
Bentons,Monroe,2297,339,948,189,1,1477,46,192,121,0,359,1836,
Brantleys,Monroe,1123,228,521,58,0,807,12,76,30,0,118,925,
Burgays,Monroe,2268,432,925,191,3,1551,37,191,98,1,327,1878,
Cabaniss,Monroe,800,197,188,30,1,416,41,72,31,0,144,560,
Cox,Monroe,718,138,270,21,0,429,27,56,42,0,125,554,
Culloden,Monroe,454,111,77,29,0,217,38,28,30,1,97,314,
Dillards,Monroe,996,142,368,39,0,549,28,74,34,0,136,685,
Evers,Monroe,2127,276,874,130,0,1280,50,183,74,0,307,1587,
Forsyth,Monroe,4640,206,982,163,0,1351,186,884,560,0,1630,2981,
High Falls,Monroe,1994,333,606,109,1,1049,48,98,66,0,212,1261,
Kelseys,Monroe,722,115,155,27,0,297,38,121,83,0,242,539,
Middlebrooks,Monroe,1319,196,535,64,0,795,38,98,41,0,177,972,
Proctors,Monroe,1214,224,320,53,0,597,52,90,45,0,187,784,
Russellville,Monroe,466,132,124,15,0,271,22,19,15,0,56,327,
