Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Burnt Hickory Park,Paulding,6242,543,2517,727,5,3792,163,623,134,0,920,4712,
Crossroads Library,Paulding,3662,342,1534,652,0,2528,58,301,74,1,434,2962,
Shelton Elementary,Paulding,5095,507,1893,736,3,3139,109,431,108,1,649,3788,
Russom Elementary,Paulding,8243,715,3013,1599,4,5331,173,649,243,3,1068,6399,
Paulding Sr Center,Paulding,5972,568,2122,782,3,3475,130,502,117,3,752,4227,
Legacy Bapt Church,Paulding,4443,374,1272,703,2,2351,73,363,142,3,581,2932,
Watson Govt Cmplx,Paulding,10774,817,3263,1436,8,5524,205,911,294,2,1412,6936,
West Ridge Church,Paulding,11546,1068,3930,1786,3,6787,256,879,288,2,1425,8212,
Events Place,Paulding,4923,377,1484,838,3,2702,94,377,140,1,612,3314,
Poplar Sprgs Bapt Church,Paulding,4825,390,1467,649,0,2506,110,418,158,0,686,3192,
D Wright Innovation Ctr,Paulding,7137,580,2532,766,3,3881,143,650,180,0,973,4854,
Nebo Elem School,Paulding,10070,1082,3276,1127,8,5493,271,796,268,0,1335,6828,
White Oak Park,Paulding,5833,583,1844,741,5,3173,123,469,136,4,732,3905,
Mulberry Rock Park,Paulding,5911,615,2054,670,4,3343,179,544,123,1,847,4190,
Beulahland Baptist Church,Paulding,2547,313,824,260,3,1400,94,222,45,0,361,1761,
Paulding County Airport,Paulding,4132,514,1263,458,4,2239,127,342,83,0,552,2791,
Picketts Mill Baptist Church,Paulding,2748,312,1032,434,1,1779,58,178,81,0,317,2096,
Taylor Farm Park,Paulding,2761,213,892,410,0,1515,61,257,67,0,385,1900,
Dobbins Middle School,Paulding,8081,573,2777,1156,3,4509,174,734,259,1,1168,5677,
