Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Agri-Center,Sumter,2059,146,564,180,1,891,66,293,96,0,455,1346,
Airport,Sumter,1767,147,508,183,0,838,54,276,100,0,430,1268,
Andersonville,Sumter,434,107,69,37,1,214,60,41,12,0,113,327,
Browns Mill,Sumter,929,92,220,78,0,390,69,120,36,0,225,615,
Concord,Sumter,376,103,76,18,7,204,40,23,12,1,76,280,
GSW Conf Center,Sumter,3044,189,828,324,2,1343,70,392,146,0,608,1951,
Leslie,Sumter,1687,235,317,112,2,666,122,191,96,0,409,1075,
Plains,Sumter,1061,160,182,90,1,433,82,133,64,0,279,712,
Rec Dept,Sumter,2667,220,596,359,1,1176,77,243,153,0,473,1649,
Reese Park,Sumter,3064,200,636,338,0,1174,85,232,151,0,468,1642,
Thompson,Sumter,712,97,116,55,1,269,57,53,26,0,136,405,
