Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Bold Springs,Walton,4653,568,1425,485,2,2480,222,593,304,0,1119,3599,
Whatley,Walton,1254,200,350,111,0,661,65,164,60,0,289,950,
Walker Park,Walton,3858,416,1060,347,0,1823,185,527,211,0,923,2746,
Gratis,Walton,1243,245,300,118,0,663,94,161,70,0,325,988,
Between,Walton,4925,460,1661,493,0,2614,173,740,224,1,1138,3752,
Walnut Grove,Walton,2661,374,704,192,0,1270,146,345,105,0,596,1866,
Loganville North,Walton,5225,464,1357,494,3,2318,170,668,266,1,1105,3423,
Social Circle,Walton,4604,625,1089,406,3,2123,283,543,194,0,1020,3143,
South Monroe,Walton,3910,269,1081,307,0,1657,87,496,198,0,781,2438,
North Monroe,Walton,4818,430,1017,487,4,1938,138,382,217,0,737,2675,
Loganville South,Walton,3768,363,999,406,0,1768,118,436,213,0,767,2535,
West Walton,Walton,4219,459,1286,397,0,2142,181,600,238,0,1019,3161,
Broken Arrow,Walton,4380,465,1303,388,0,2156,165,587,207,0,959,3115,
Bay Creek,Walton,3401,300,1068,306,1,1675,100,517,193,0,810,2485,
E Monroe,Walton,4119,432,849,283,4,1568,112,378,149,0,639,2207,
W Monroe,Walton,2027,193,660,198,0,1051,79,301,101,0,481,1532,
Tara,Walton,4050,324,1287,449,3,2063,106,517,183,0,806,2869,
Mountain,Walton,1657,220,451,118,0,789,82,196,88,0,366,1155,
Jersey,Walton,1970,463,398,125,0,986,216,228,82,1,527,1513,
Blasingame,Walton,1115,284,233,79,0,596,125,93,47,1,266,862,
Good Hope,Walton,2149,459,489,158,0,1106,209,219,72,0,500,1606,
