Precinct,County,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,
100,Ware,4740,84,257,143,0,484,216,873,823,7,1919,2403,
200A,Ware,2730,189,731,166,3,1089,82,308,142,8,540,1629,
200B,Ware,976,38,114,47,3,202,32,140,111,0,283,485,
300,Ware,4061,355,1382,327,5,2069,99,304,179,8,590,2659,
304,Ware,1269,183,408,72,1,664,20,51,37,0,108,772,
400,Ware,3538,403,1440,338,4,2185,35,184,115,3,337,2522,
404,Ware,373,156,70,32,1,259,6,2,16,0,24,283,
405,Ware,636,202,189,49,1,441,9,9,8,0,26,467,
406,Ware,1659,290,657,115,1,1063,23,54,29,0,106,1169,
407,Ware,505,201,110,27,0,338,5,5,5,0,15,353,
408,Ware,523,205,122,21,0,348,5,6,6,0,17,365,
409,Ware,984,215,356,70,0,641,11,21,18,0,50,691,
