Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Blue Creek,White,2352,327,664,280,0,1271,102,227,103,0,432,1703,
Blue Ridge,White,929,133,210,106,0,449,50,72,43,0,165,614,
Helen,White,609,98,127,66,0,291,35,42,18,0,95,386,
Mossy Creek,White,3164,482,810,262,0,1554,171,305,113,0,589,2143,
Mt Yonah,White,4468,444,1263,415,2,2124,138,468,216,0,822,2946,
Nacoochee,White,1552,197,456,256,1,910,57,128,79,0,264,1174,
Robertstown,White,407,88,90,27,0,205,31,35,20,0,86,291,
Shoal Creek,White,2538,344,593,209,0,1146,123,213,82,0,418,1564,
Tesnatee,White,1231,150,346,128,0,624,67,123,60,0,250,874,
Town Creek,White,1593,245,400,155,1,801,87,153,46,0,286,1087,
White Creek,White,1779,262,438,140,0,840,114,180,76,0,370,1210,
