Precinct,County,Registered Voters,Carden H. Summers (I) (Rep)_Election Day Votes,Carden H. Summers (I) (Rep)_Advanced Voting Votes,Carden H. Summers (I) (Rep)_Absentee by Mail Votes,Carden H. Summers (I) (Rep)_Provisional Votes,Carden H. Summers (I) (Rep)_Choice Total,Mary Egler (Dem)_Election Day Votes,Mary Egler (Dem)_Advanced Voting Votes,Mary Egler (Dem)_Absentee by Mail Votes,Mary Egler (Dem)_Provisional Votes,Mary Egler (Dem)_Choice Total,Total,
Sylvester,Worth,3006,128,419,100,0,647,214,414,321,0,949,1596,
Scooterville,Worth,603,193,145,34,0,372,6,6,9,0,21,393,
Minton,Worth,543,180,151,36,0,367,6,9,12,0,27,394,
Bridgeboro,Worth,1286,292,307,74,0,673,39,53,38,0,130,803,
County Line,Worth,887,171,180,44,0,395,14,36,34,0,84,479,
Isabella,Worth,1424,261,491,114,0,866,28,70,24,0,122,988,
Piney Woods,Worth,336,45,58,16,0,119,22,38,21,0,81,200,
Sylvester East,Worth,1406,169,445,100,0,714,37,107,60,0,204,918,
Poulan,Worth,887,222,201,49,0,472,29,43,33,0,105,577,
Sumner,Worth,871,218,193,48,0,459,29,35,43,0,107,566,
Shingler,Worth,554,185,152,35,0,372,7,18,16,0,41,413,
Red Rock,Worth,1287,275,233,58,0,566,39,46,60,0,145,711,
Doles,Worth,449,156,95,33,0,284,5,14,10,0,29,313,
Oakfield,Worth,229,55,42,6,0,103,6,14,27,0,47,150,
Warwick,Worth,701,175,117,42,0,334,58,21,59,0,138,472,
