Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Adairsville,Bartow,6995,694,2005,538,1,3238,218,769,278,1,1266,4504,
Allatoona,Bartow,4729,502,1011,375,0,1888,156,385,140,0,681,2569,
Cartersville East,Bartow,6805,596,1729,775,0,3100,208,580,284,1,1073,4173,
Cartersville West,Bartow,8129,595,2555,979,1,4130,176,907,340,0,1423,5553,
Cassville,Bartow,4588,395,1189,687,3,2274,145,404,346,1,896,3170,
Center,Bartow,4007,570,1047,407,1,2025,189,389,180,1,759,2784,
Emerson,Bartow,3122,493,621,272,0,1386,170,242,136,1,549,1935,
Euharlee,Bartow,5322,741,1476,458,0,2675,251,488,179,1,919,3594,
Folsom,Bartow,1448,310,279,97,0,686,119,109,47,0,275,961,
Hamilton Crossing,Bartow,6598,650,1928,416,1,2995,200,627,162,0,989,3984,
Kingston,Bartow,2674,493,544,225,0,1262,210,203,87,0,500,1762,
Mission Road,Bartow,4012,364,1152,391,3,1910,147,399,178,0,724,2634,
Pine Log,Bartow,2132,499,404,157,0,1060,178,153,99,0,430,1490,
Taylorsville,Bartow,2829,605,599,213,0,1417,219,236,107,0,562,1979,
White,Bartow,2723,535,574,208,1,1318,173,245,113,0,531,1849,
Zena Drive,Bartow,6431,577,1449,605,3,2634,161,477,237,3,878,3512,
Woodland,Bartow,1865,264,462,182,1,909,83,142,86,0,311,1220,
