Precinct,County,Registered Voters,Tyler Paul Smith (Rep)_Election Day Votes,Tyler Paul Smith (Rep)_Advanced Voting Votes,Tyler Paul Smith (Rep)_Absentee by Mail Votes,Tyler Paul Smith (Rep)_Provisional Votes,Tyler Paul Smith (Rep)_Choice Total,Pat Rhudy (Dem)_Election Day Votes,Pat Rhudy (Dem)_Advanced Voting Votes,Pat Rhudy (Dem)_Absentee by Mail Votes,Pat Rhudy (Dem)_Provisional Votes,Pat Rhudy (Dem)_Choice Total,Total,
Kansas,Carroll,1165,436,258,88,0,782,19,22,22,0,63,845,
Mt Zion,Carroll,2641,624,661,170,0,1455,70,115,80,0,265,1720,
Clem,Carroll,3695,12,70,4,1,87,4,16,15,0,35,122,
Bowdon Junction,Carroll,1547,237,407,95,0,739,49,93,58,0,200,939,
Bethany,Carroll,4779,102,272,48,0,422,63,170,91,0,324,746,
West Carrollton,Carroll,4380,151,563,131,0,845,275,763,322,0,1360,2205,
Lakeshore Rec Center,Carroll,1671,103,405,96,1,605,49,256,108,0,413,1018,
Bonner,Carroll,3736,214,1010,178,1,1403,126,591,218,0,935,2338,
County Admin Bldg,Carroll,2620,167,721,157,0,1045,75,418,187,0,680,1725,
Burson Center,Carroll,1466,123,429,95,0,647,49,178,82,0,309,956,
