Precinct,County,Registered Voters,Tammie Mosley (I) (Dem)_Election Day Votes,Tammie Mosley (I) (Dem)_Advanced Voting Votes,Tammie Mosley (I) (Dem)_Absentee by Mail Votes,Tammie Mosley (I) (Dem)_Provisional Votes,Tammie Mosley (I) (Dem)_Choice Total,Total,
1-01C First Presbyterian Church3187,Chatham,370,846,765,0,1981,1981,,
1-05C JEA Building,Chatham,2106,257,510,439,1,1207,1207,
1-06C Central Church of Christ2035,Chatham,281,368,390,2,1041,1041,,
1-08C Grace United Methodist Church1667,Chatham,240,313,253,1,807,807,,
1-09C Immanuel Baptist Church 739,Chatham,112,113,109,3,337,337,,
1-10C St Thomas Episcopal Church1101,Chatham,225,183,188,1,597,597,,
1-12C Isle of Hope Baptist,Chatham,1909,375,370,327,0,1072,1072,
1-13C The Sanctuary,Chatham,1396,213,228,219,0,660,660,
1-14C Compassion Christian Church1718,Chatham,212,348,305,0,865,865,,
1-16C Ferguson Ave Baptist,Chatham,2905,428,477,357,3,1265,1265,
1-17C Islands Christian Church3136,Chatham,372,674,637,1,1684,1684,,
2-02C Blackshear Community Center1714,Chatham,233,287,231,9,760,760,,
2-03C W W Law Center,Chatham,1609,223,260,245,2,730,730,
2-04C Fellowship of Love Church3178,Chatham,453,609,600,1,1663,1663,,
2-05C Holy Spirit Lutheran Church2079,Chatham,300,505,359,3,1167,1167,,
2-06C Eli Whitney Complex,Chatham,759,136,130,96,3,365,365,
2-07C Christ Community Church 2808,Chatham,391,596,439,2,1428,1428,,
2-09C Salvation Army,Chatham,3342,429,754,634,4,1821,1821,
2-11C Stillwell Towers,Chatham,1900,331,286,260,3,880,880,
2-12C Williams Court Apts,Chatham,1683,211,348,290,4,853,853,
3-01C Old Courthouse,Chatham,458,52,89,87,1,229,229,
3-02C Temple Mickve Israel,Chatham,1598,146,376,327,1,850,850,
3-03C Savannah High School,Chatham,1185,202,212,141,5,560,560,
3-04C First African Baptist Church1558,Chatham,327,247,242,0,816,816,,
3-05C Aldersgate Youth Center 2107,Chatham,318,376,310,2,1006,1006,,
3-08C Jenkins High School,Chatham,1210,168,272,206,0,646,646,
3-09C Cokesbury Methodist,Chatham,664,132,97,105,1,335,335,
3-10C Bible Baptist Church,Chatham,2640,439,536,470,2,1447,1447,
3-11C Southside Baptist Church1481,Chatham,267,290,216,2,775,775,,
3-12C Thunderbolt Muni Complex1678,Chatham,308,270,266,0,844,844,,
3-13C New Cov 7 Day Adv Ch,Chatham,2303,290,450,296,1,1037,1037,
3-14C Oglethorpe Charter Academy2381,Chatham,296,550,492,1,1339,1339,,
3-15C Eli Whitney Complex,Chatham,816,95,188,199,0,482,482,
4-02C Frank Murray Comm Center2472,Chatham,301,523,375,0,1199,1199,,
4-04C Lighthouse Baptist Church2470,Chatham,342,476,408,3,1229,1229,,
4-05C St Francis Episcopal Church2244,Chatham,376,443,341,1,1161,1161,,
4-06C First Baptist of the Island2252,Chatham,369,478,350,2,1199,1199,,
4-07C Wilmington Island UMC,Chatham,3370,431,676,569,3,1679,1679,
4-08C Wilmington Island Pres Church2678,Chatham,401,556,472,0,1429,1429,,
4-10C Guard House Comm Ctr,Chatham,1469,300,234,218,2,754,754,
4-11C Tybee Island School Cafe1640,Chatham,384,189,223,0,796,796,,
4-12C St Peters Episcopal,Chatham,2294,378,377,473,0,1228,1228,
4-13C Skidaway Island Pres Church2469,Chatham,322,410,567,1,1300,1300,,
4-14C Skidaway Island Baptist 1744,Chatham,218,295,448,1,962,962,,
4-15C Skidaway Island State Park0,Chatham,188,284,512,0,984,984,,
5-01C Bartlett Middle School,Chatham,1063,177,203,148,0,528,528,
5-02C Senior Citizens Center,Chatham,783,122,118,122,1,363,363,
5-03C Butler Presbyterian Church1078,Chatham,192,164,186,5,547,547,,
5-05C Liberty City Comm Ctr,Chatham,2574,440,559,582,3,1584,1584,
5-06C Seed Church,Chatham,2598,304,465,354,8,1131,1131,
5-07C Station 1,Chatham,1856,276,368,269,6,919,919,
5-08C Savannah Primitive BC,Chatham,1848,239,391,319,2,951,951,
5-10C Tatumville Community Center3507,Chatham,544,681,683,3,1911,1911,,
5-11C Largo-Tibet Elementary,Chatham,3019,362,661,441,8,1472,1472,
6-01C White Bluff Presbyterian1919,Chatham,267,398,269,5,939,939,,
6-02C Windsor Forest Baptist,Chatham,2290,376,479,389,1,1245,1245,
6-03C Crusader Comm Center,Chatham,2736,386,633,493,1,1513,1513,
6-05C Windsor Hall,Chatham,1993,276,410,299,0,985,985,
6-06C The Light Church,Chatham,1543,200,256,188,0,644,644,
6-08C Christ Memorial Baptist Church2194,Chatham,275,453,308,2,1038,1038,,
6-09C Trinity Lutheran Church 3319,Chatham,440,720,508,7,1675,1675,,
6-10C Station 3,Chatham,4184,497,996,781,6,2280,2280,
6-11C Bamboo Farms,Chatham,5149,640,1210,745,6,2601,2601,
7-01C Garden City Senior Ctr,Chatham,1542,217,224,194,0,635,635,
7-03C PB Edwards Gym,Chatham,1290,282,119,119,0,520,520,
7-04C Lake Shore Comm Ctr,Chatham,3067,520,802,382,1,1705,1705,
7-05C Woodlawn Baptist Church 1305,Chatham,219,238,133,0,590,590,,
7-06C Pooler City Hall,Chatham,3555,333,786,463,1,1583,1583,
7-07C Rothwell Baptist Church 3932,Chatham,295,891,606,5,1797,1797,,
7-08C Bloomingdale Comm Ctr,Chatham,2733,381,455,256,1,1093,1093,
7-09C Savannah Holy C of G,Chatham,2823,346,539,442,4,1331,1331,
7-10C Progressive Rec Center,Chatham,4288,494,997,604,5,2100,2100,
7-11C Seventh Day Adv Church,Chatham,6469,725,1560,938,11,3234,3234,
7-12C Pooler Church,Chatham,3334,307,994,608,3,1912,1912,
7-13C Southside Fire Trng Ctr 2513,Chatham,195,638,550,0,1383,1383,,
7-14C Coastal Cathedral,Chatham,7572,783,1872,1397,8,4060,4060,
7-15C Rice Creek School,Chatham,2564,418,536,286,3,1243,1243,
7-16C Pooler Recreation Center Gymnasium3701,Chatham,270,1004,666,10,1950,1950,,
8-01C Civic Center,Chatham,850,74,117,95,3,289,289,
8-02C Hellenic Center,Chatham,1709,236,380,257,1,874,874,
8-03C Silk Hope Baptist Church831,Chatham,126,82,78,0,286,286,,
8-05C W Broad St YMCA,Chatham,1543,277,214,162,1,654,654,
8-06C Tompkins Rec Center,Chatham,1055,195,152,158,1,506,506,
8-07C Woodville-Tompkins TI,Chatham,630,128,103,86,1,318,318,
8-08C Resur of Our Lord Church1704,Chatham,321,258,272,3,854,854,,
8-09C Moses Jackson Center,Chatham,1362,264,196,203,4,667,667,
8-10C Carver Heights Comm Ctr 1784,Chatham,353,264,352,0,969,969,,
8-11C Butler Elementary,Chatham,1386,261,308,354,0,923,923,
8-12C Beach High School,Chatham,1310,190,243,154,2,589,589,
8-13C Savannah Christian,Chatham,1022,96,87,65,2,250,250,
8-15C Garden City Rec Center,Chatham,1622,220,301,246,2,769,769,
8-16C Royal Cinemas and IMAX,Chatham,3087,274,803,591,3,1671,1671,
