Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Acworth 1A,Cobb,5458,370,1381,1106,2,2859,106,498,329,1,934,3793,
Acworth 1B,Cobb,5214,523,1255,879,3,2660,150,400,290,2,842,3502,
Acworth 1C,Cobb,5110,381,1333,793,4,2511,102,414,275,4,795,3306,
Addison 01,Cobb,2444,274,509,668,1,1452,89,165,170,1,425,1877,
Austell 1A,Cobb,5329,410,1155,831,10,2406,122,348,285,3,758,3164,
Bells Ferry 02,Cobb,3127,350,711,607,0,1668,113,196,194,2,505,2173,
Bells Ferry 03,Cobb,2436,353,462,407,3,1225,108,153,115,0,376,1601,
Bells Ferry 04,Cobb,3646,486,817,682,5,1990,173,233,180,0,586,2576,
Big Shanty 01,Cobb,2385,291,493,418,3,1205,77,148,121,2,348,1553,
Big Shanty 02,Cobb,3236,375,761,701,3,1840,108,260,179,0,547,2387,
Baker 01,Cobb,4773,520,1294,722,7,2543,132,343,199,1,675,3218,
Birney 01,Cobb,2727,274,542,483,9,1308,78,150,178,2,408,1716,
Birney 02,Cobb,3894,280,958,882,4,2124,92,286,290,1,669,2793,
Bryant 01,Cobb,2142,170,573,344,2,1089,42,152,137,1,332,1421,
Bryant 02,Cobb,6209,468,1234,615,4,2321,118,325,204,2,649,2970,
Blackwell 01,Cobb,2698,307,589,605,1,1502,97,202,173,2,474,1976,
Chattahoochee 01,Cobb,5969,537,1532,978,7,3054,147,358,205,1,711,3765,
Cheatham Hill 02,Cobb,3085,320,799,714,1,1834,105,253,201,0,559,2393,
Cheatham Hill 03,Cobb,4029,341,1125,984,0,2450,117,388,218,1,724,3174,
Chalker 01,Cobb,6065,635,1356,880,2,2873,165,376,287,1,829,3702,
Clarkdale 01,Cobb,1937,178,398,343,2,921,55,121,87,1,264,1185,
Clarkdale 02,Cobb,5372,517,1259,823,4,2603,177,427,271,2,877,3480,
Cooper 01,Cobb,5252,418,1172,806,1,2397,117,339,309,1,766,3163,
Chestnut Ridge 01,Cobb,3162,332,701,940,0,1973,102,251,227,0,580,2553,
Dickerson 01,Cobb,2828,272,664,827,4,1767,78,219,206,0,503,2270,
Dobbins 01,Cobb,3024,263,425,333,7,1028,86,124,116,5,331,1359,
Dobbins 02,Cobb,3984,412,889,525,6,1832,133,250,135,1,519,2351,
Dowell 01,Cobb,3197,335,833,704,3,1875,87,262,182,1,532,2407,
Dodgen 01,Cobb,2100,270,457,593,3,1323,69,162,143,0,374,1697,
Durham 01,Cobb,4256,374,1298,792,2,2466,102,499,267,0,868,3334,
Davis 01,Cobb,2093,351,469,474,1,1295,92,148,107,0,347,1642,
Eastside 01,Cobb,3040,316,624,910,2,1852,106,242,230,2,580,2432,
Eastside 02,Cobb,4074,327,897,1267,1,2492,103,257,324,2,686,3178,
Elizabeth 01,Cobb,4065,439,872,548,3,1862,105,257,157,1,520,2382,
Elizabeth 02,Cobb,2434,280,513,576,3,1372,94,156,162,0,412,1784,
Elizabeth 03,Cobb,2767,324,601,733,2,1660,104,194,198,0,496,2156,
Elizabeth 04,Cobb,3011,391,554,601,1,1547,127,163,133,0,423,1970,
Elizabeth 05,Cobb,2884,364,613,706,1,1684,115,187,191,0,493,2177,
East Piedmont 01,Cobb,2627,346,561,503,0,1410,104,146,128,0,378,1788,
Fair Oaks 02,Cobb,5779,532,1082,894,4,2512,182,333,322,5,842,3354,
Fair Oaks 04,Cobb,5322,591,711,641,5,1948,174,223,226,2,625,2573,
Fullers Park 01,Cobb,3452,359,782,920,0,2061,130,241,272,0,643,2704,
Ford 01,Cobb,3161,294,929,601,0,1824,94,359,163,1,617,2441,
Frey 01,Cobb,2582,170,811,439,0,1420,64,302,152,0,518,1938,
Garrison Mill 01,Cobb,2872,352,736,687,1,1776,112,195,162,0,469,2245,
Gritters 01,Cobb,4033,491,857,838,2,2188,181,269,236,0,686,2874,
Harmony-Leland 01,Cobb,6394,352,1764,1263,4,3383,119,477,383,1,980,4363,
Harrison 01,Cobb,3122,335,889,600,0,1824,92,287,190,0,569,2393,
Hightower 01,Cobb,4262,365,907,1401,0,2673,126,306,288,0,720,3393,
Hayes 01,Cobb,4111,356,1100,885,1,2342,119,392,263,0,774,3116,
Kennesaw 1A,Cobb,2499,309,584,327,10,1230,101,171,96,6,374,1604,
Kennesaw 2A,Cobb,3944,395,933,673,4,2005,124,306,169,1,600,2605,
Kennesaw 3A,Cobb,6477,532,1615,1035,6,3188,154,442,305,1,902,4090,
Kennesaw 4A,Cobb,3783,330,933,714,2,1979,98,295,231,1,625,2604,
Kennesaw 5A,Cobb,5855,648,1636,1013,1,3298,188,495,302,0,985,4283,
Kell 01,Cobb,2006,306,399,468,0,1173,118,126,88,1,333,1506,
Kemp 01,Cobb,1960,235,486,414,0,1135,80,194,107,0,381,1516,
Kemp 02,Cobb,4049,380,1055,883,7,2325,152,337,259,0,748,3073,
Kemp 03,Cobb,3955,457,1103,726,3,2289,146,426,229,0,801,3090,
Lassiter 01,Cobb,3647,415,868,875,0,2158,140,288,284,0,712,2870,
Lindley 01,Cobb,4797,326,1386,1114,0,2826,129,364,306,0,799,3625,
Lost Mountain 01,Cobb,3604,200,1138,771,1,2110,97,422,225,0,744,2854,
Lost Mountain 02,Cobb,4121,355,1357,815,0,2527,104,522,220,0,846,3373,
Lost Mountain 03,Cobb,5387,315,1781,1033,1,3130,85,669,296,1,1051,4181,
Lost Mountain 04,Cobb,2629,238,750,534,0,1522,74,306,145,1,526,2048,
Mableton 01,Cobb,5127,319,1225,1050,2,2596,87,381,343,2,813,3409,
Mableton 02,Cobb,3330,287,588,521,0,1396,87,203,162,0,452,1848,
Mableton 03,Cobb,3010,283,695,597,2,1577,76,221,206,1,504,2081,
Mableton 04,Cobb,1581,156,391,410,0,957,52,117,112,0,281,1238,
Mabry 01,Cobb,1656,224,410,395,4,1033,68,124,102,1,295,1328,
Macland 01,Cobb,4213,315,1107,705,1,2128,98,325,266,0,689,2817,
Murdock 01,Cobb,4059,432,864,1208,0,2504,144,275,283,0,702,3206,
McEachern 01,Cobb,3549,213,966,728,1,1908,74,326,253,0,653,2561,
McCleskey 01,Cobb,1736,236,373,416,0,1025,87,161,116,0,364,1389,
McClure 01,Cobb,3290,375,893,631,2,1901,112,328,165,0,605,2506,
Marietta 1A,Cobb,4468,408,783,581,4,1776,104,222,157,2,485,2261,
Marietta 2A,Cobb,2059,300,475,472,0,1247,83,158,168,0,409,1656,
Marietta 2B,Cobb,4447,440,1036,839,2,2317,139,295,220,1,655,2972,
Marietta 3A,Cobb,4388,380,1034,931,1,2346,139,292,267,2,700,3046,
Marietta 3B,Cobb,2218,163,459,365,1,988,54,125,132,0,311,1299,
Marietta 4A,Cobb,1956,348,395,444,0,1187,127,130,148,0,405,1592,
Marietta 4B,Cobb,2056,210,449,467,1,1127,79,149,112,0,340,1467,
Marietta 4C,Cobb,2781,290,757,633,0,1680,87,237,175,0,499,2179,
Marietta 5A,Cobb,3324,342,623,551,2,1518,102,189,175,3,469,1987,
Marietta 5B,Cobb,3084,326,526,367,2,1221,79,144,141,1,365,1586,
Marietta 6A,Cobb,2647,275,538,350,3,1166,91,153,94,2,340,1506,
Marietta 6B,Cobb,2910,273,693,713,0,1679,119,202,193,0,514,2193,
Marietta 7A,Cobb,3745,291,729,399,2,1421,77,158,112,2,349,1770,
Mars Hill 01,Cobb,3633,378,964,585,1,1928,136,413,169,1,719,2647,
Mars Hill 02,Cobb,2916,328,750,488,0,1566,93,241,133,0,467,2033,
Mt Bethel 01,Cobb,4125,390,905,1262,5,2562,111,274,329,1,715,3277,
Mt Bethel 03,Cobb,3294,218,817,882,0,1917,75,260,241,0,576,2493,
Mt Bethel 04,Cobb,2981,260,631,897,0,1788,74,221,222,0,517,2305,
North Cobb 01,Cobb,2317,236,601,415,1,1253,86,172,114,0,372,1625,
Nickajack 01,Cobb,4889,373,1405,984,5,2767,103,347,174,0,624,3391,
Norton Park 01,Cobb,4922,449,951,947,8,2355,145,274,265,1,685,3040,
Nicholson 01,Cobb,2455,322,515,495,1,1333,93,182,154,0,429,1762,
Oakdale 01,Cobb,3944,312,960,1001,0,2273,105,282,264,0,651,2924,
Oregon 01,Cobb,1614,184,437,323,2,946,66,177,101,0,344,1290,
Oregon 02,Cobb,5671,471,1271,1086,2,2830,144,347,348,0,839,3669,
Oregon 03,Cobb,5713,485,1016,794,7,2302,169,292,266,2,729,3031,
Oregon 04,Cobb,4673,368,1050,917,4,2339,128,304,297,0,729,3068,
Oregon 05,Cobb,3846,355,1114,776,0,2245,125,369,240,1,735,2980,
Pebblebrook 01,Cobb,5218,399,1205,788,4,2396,137,354,294,2,787,3183,
Powers Ferry 01,Cobb,3504,388,767,739,1,1895,139,187,199,2,527,2422,
Pine Mountain 01,Cobb,3491,352,1032,667,4,2055,116,308,229,1,654,2709,
Pine Mountain 02,Cobb,3127,362,850,697,2,1911,104,276,199,0,579,2490,
Post Oak 01,Cobb,3660,370,935,898,2,2205,142,285,233,2,662,2867,
Pope 01,Cobb,3153,277,750,817,0,1844,101,253,230,0,584,2428,
Palmer 01,Cobb,2760,319,613,536,0,1468,117,190,178,0,485,1953,
Powders Springs 1A,Cobb,4755,249,1387,1011,3,2650,76,412,312,2,802,3452,
Powders Springs 2A,Cobb,3536,230,891,548,2,1671,80,250,188,0,518,2189,
Powders Springs 3A,Cobb,3991,293,1116,583,0,1992,72,313,214,1,600,2592,
Pitner 01,Cobb,2814,385,682,518,1,1586,139,204,125,1,469,2055,
Rocky Mount 01,Cobb,3390,471,750,771,2,1994,135,240,198,0,573,2567,
Riverside 01,Cobb,2133,190,406,240,2,838,63,109,81,0,253,1091,
Roswell 01,Cobb,5374,496,1232,1701,0,3429,161,357,390,1,909,4338,
Roswell 02,Cobb,3701,377,750,1115,2,2244,129,275,283,1,688,2932,
Sandy Plains 01,Cobb,2933,366,682,748,2,1798,95,192,178,0,465,2263,
Shallowford Falls 01,Cobb,3387,397,770,971,1,2139,113,233,223,0,569,2708,
Simpson 01,Cobb,1868,172,467,448,1,1088,72,178,102,0,352,1440,
Sewell Mill 01,Cobb,3493,372,802,905,0,2079,115,236,267,0,618,2697,
Sewell Mill 03,Cobb,4759,529,878,877,4,2288,154,290,282,3,729,3017,
Smyrna 1A,Cobb,4152,453,839,649,3,1944,101,173,188,1,463,2407,
Smyrna 2A,Cobb,5539,457,1416,1032,1,2906,129,289,235,1,654,3560,
Smyrna 3A,Cobb,4573,337,1147,935,4,2423,114,305,223,0,642,3065,
Smyrna 3B,Cobb,2496,215,643,583,2,1443,76,188,136,0,400,1843,
Smyrna 4A,Cobb,5842,419,1425,1671,6,3521,150,417,456,0,1023,4544,
Smyrna 5A,Cobb,4319,417,914,818,8,2157,132,234,199,1,566,2723,
Smyrna 6A,Cobb,5936,486,1514,1483,7,3490,138,416,367,1,922,4412,
Smyrna 7A,Cobb,6378,347,1875,1741,0,3963,101,513,416,0,1030,4993,
Sope Creek 01,Cobb,2163,274,442,638,1,1355,91,146,166,0,403,1758,
Sope Creek 02,Cobb,4729,432,1095,1201,2,2730,130,330,304,2,766,3496,
Sope Creek 03,Cobb,2886,327,661,686,0,1674,104,208,194,0,506,2180,
Sweetwater 01,Cobb,3235,294,836,557,0,1687,97,269,160,1,527,2214,
Sweetwater 02,Cobb,3367,260,584,555,17,1416,80,181,188,3,452,1868,
Terrell Mill 01,Cobb,5816,541,1183,956,9,2689,151,309,268,0,728,3417,
Timber Ridge 01,Cobb,2448,237,538,714,1,1490,99,188,185,0,472,1962,
Vaughan 01,Cobb,3146,326,963,536,0,1825,122,350,140,0,612,2437,
Vinings 01,Cobb,3260,308,802,695,0,1805,90,205,151,1,447,2252,
Vinings 02,Cobb,6400,537,1504,1355,3,3399,147,401,326,3,877,4276,
Vinings 03,Cobb,4407,314,1157,969,5,2445,83,323,264,0,670,3115,
Vinings 04,Cobb,3405,434,723,792,2,1951,161,217,212,0,590,2541,
Wade Green 02,Cobb,4718,499,1154,888,1,2542,167,367,290,0,824,3366,
Willeo 01,Cobb,2836,350,638,791,1,1780,115,180,197,0,492,2272,
