Precinct,County,Registered Voters,Lindsey Tippins (I) (Rep)_Election Day Votes,Lindsey Tippins (I) (Rep)_Advanced Voting Votes,Lindsey Tippins (I) (Rep)_Absentee by Mail Votes,Lindsey Tippins (I) (Rep)_Provisional Votes,Lindsey Tippins (I) (Rep)_Choice Total,Vanessa Parker (Dem)_Election Day Votes,Vanessa Parker (Dem)_Advanced Voting Votes,Vanessa Parker (Dem)_Absentee by Mail Votes,Vanessa Parker (Dem)_Provisional Votes,Vanessa Parker (Dem)_Choice Total,Total,
Acworth 1A,Cobb,5458,278,1098,638,1,2015,205,838,860,2,1905,3920,
Acworth 1B,Cobb,5214,413,994,589,1,1997,276,697,626,3,1602,3599,
Acworth 1C,Cobb,5110,218,700,321,0,1239,288,1084,790,5,2167,3406,
Big Shanty 01,Cobb,2385,228,373,284,4,889,140,293,256,1,690,1579,
Baker 01,Cobb,4773,354,709,333,2,1398,299,969,623,5,1896,3294,
Cheatham Hill 02,Cobb,3085,323,733,502,0,1558,116,364,435,0,915,2473,
Cheatham Hill 03,Cobb,4029,343,851,596,0,1790,129,694,645,0,1468,3258,
Chalker 01,Cobb,6065,319,646,448,0,1413,496,1132,766,2,2396,3809,
Dowell 01,Cobb,3197,263,575,372,1,1211,167,566,544,1,1278,2489,
Durham 01,Cobb,4256,408,1406,642,1,2457,82,465,453,1,1001,3458,
Elizabeth 01,Cobb,4065,209,302,172,0,683,293,780,523,4,1600,2283,
East Piedmont 01,Cobb,2627,102,156,101,1,360,118,316,277,0,711,1071,
Ford 01,Cobb,3161,321,996,458,1,1776,78,336,336,0,750,2526,
Frey 01,Cobb,2582,179,836,335,0,1350,65,307,278,0,650,2000,
Harrison 01,Cobb,3122,354,897,514,0,1765,94,320,318,0,732,2497,
Hayes 01,Cobb,4111,371,1083,658,0,2112,123,464,525,1,1113,3225,
Kennesaw 1A,Cobb,2499,185,332,195,6,718,175,341,196,2,714,1432,
Kennesaw 2A,Cobb,3944,319,721,372,1,1413,202,572,495,1,1270,2683,
Kennesaw 3A,Cobb,6477,308,879,464,1,1652,386,1232,946,3,2567,4219,
Kennesaw 4A,Cobb,3783,250,679,432,2,1363,185,577,532,1,1295,2658,
Kennesaw 5A,Cobb,5855,530,1054,495,0,2079,334,1116,876,2,2328,4407,
Kemp 01,Cobb,1960,254,516,343,0,1113,66,187,214,0,467,1580,
Kemp 02,Cobb,4049,398,868,648,1,1915,142,567,551,2,1262,3177,
Kemp 03,Cobb,3955,525,1176,609,1,2311,97,401,393,0,891,3202,
Lost Mountain 01,Cobb,3604,216,1065,564,1,1846,86,546,494,0,1126,2972,
Lost Mountain 02,Cobb,4121,373,1438,681,0,2492,98,522,420,0,1040,3532,
Lost Mountain 03,Cobb,5387,295,1731,774,1,2801,120,792,615,1,1528,4329,
Lost Mountain 04,Cobb,2629,261,750,364,1,1376,58,345,321,0,724,2100,
McClure 01,Cobb,3290,386,870,424,2,1682,118,380,404,1,903,2585,
Marietta 2A,Cobb,2059,29,57,44,0,130,13,55,50,0,118,248,
Marietta 4C,Cobb,2781,306,701,433,0,1440,83,328,412,0,823,2263,
Marietta 5B,Cobb,3084,46,53,19,0,118,109,193,126,2,430,548,
Mars Hill 01,Cobb,3633,437,1118,491,2,2048,97,280,308,0,685,2733,
Mars Hill 02,Cobb,2916,303,610,288,0,1201,126,397,361,0,884,2085,
North Cobb 01,Cobb,2317,217,388,217,0,822,115,402,321,0,838,1660,
Oregon 01,Cobb,1614,181,412,238,0,831,79,220,202,1,502,1333,
Oregon 05,Cobb,3846,313,613,388,1,1315,164,899,645,0,1708,3023,
Pine Mountain 01,Cobb,3491,367,1005,546,1,1919,116,389,388,4,897,2816,
Pine Mountain 02,Cobb,3127,413,872,618,0,1903,83,303,317,1,704,2607,
Vaughan 01,Cobb,3146,371,975,391,0,1737,93,383,316,0,792,2529,
