Precinct,County,Registered Voters,Berryl A. Anderson (I) (Dem)_Election Day Votes,Berryl A. Anderson (I) (Dem)_Advanced Voting Votes,Berryl A. Anderson (I) (Dem)_Absentee by Mail Votes,Berryl A. Anderson (I) (Dem)_Provisional Votes,Berryl A. Anderson (I) (Dem)_Choice Total,Total,
Allgood Elem,DeKalb,2858,255,893,604,3,1755,1755,
Ashford Park Elem,DeKalb,2432,188,759,447,1,1395,1395,
Austin,DeKalb,2538,196,782,523,1,1502,1502,
Avondale,DeKalb,2906,294,985,760,1,2040,2040,
Austin Drive,DeKalb,2536,203,636,446,13,1298,1298,
Ashford Dunwoody Rd,DeKalb,2966,165,1068,589,5,1827,1827,
Ashford Parkside,DeKalb,3664,205,1049,814,6,2074,2074,
Avondale High,DeKalb,3151,128,1153,898,4,2183,2183,
Boulevard,DeKalb,4675,255,1865,1165,3,3288,3288,
Briar Vista Elem,DeKalb,2965,195,861,824,1,1881,1881,
Briarlake Elem,DeKalb,1752,131,536,447,1,1115,1115,
Briarwood,DeKalb,2428,172,795,460,3,1430,1430,
Brockett Elem,DeKalb,2752,176,846,564,6,1592,1592,
Briarcliff,DeKalb,3122,160,785,787,6,1738,1738,
Brockett,DeKalb,2681,236,775,530,6,1547,1547,
Brookhaven,DeKalb,3444,266,1201,647,2,2116,2116,
Browns Mill Elem,DeKalb,3829,310,1463,867,5,2645,2645,
Bouldercrest Road,DeKalb,2004,160,774,354,2,1290,1290,
Bethune Middle,DeKalb,4838,331,1366,959,16,2672,2672,
Burgess Elem,DeKalb,3493,195,1354,847,7,2403,2403,
Columbia Drive,DeKalb,2526,218,583,467,8,1276,1276,
Canby Lane Elem,DeKalb,2004,217,541,429,8,1195,1195,
Columbia Elem,DeKalb,1794,148,332,237,9,726,726,
Cedar Grove Elem,DeKalb,4097,307,1493,764,9,2573,2573,
Chamblee,DeKalb,2231,161,747,401,3,1312,1312,
Candler-Murphey Candler Elem,DeKalb,3712,296,1434,643,6,2379,2379,
Chapel Hill Elem,DeKalb,3349,261,1213,691,7,2172,2172,
Chesnut Elem,DeKalb,2363,220,810,374,2,1406,1406,
Clairemont West,DeKalb,3264,137,1195,1051,4,2387,2387,
Clairmont Road,DeKalb,3223,189,899,912,6,2006,2006,
Clarkston,DeKalb,3878,384,967,420,13,1784,1784,
Clifton,DeKalb,1731,126,530,322,5,983,983,
Columbia Middle,DeKalb,2178,153,605,339,6,1103,1103,
Coan Recreation Center,DeKalb,4230,205,1599,896,4,2704,2704,
Cross Keys High,DeKalb,2260,161,618,497,4,1280,1280,
Crossroads,DeKalb,2898,247,884,630,8,1769,1769,
Candler,DeKalb,3537,246,1017,589,13,1865,1865,
Cedar Grove Middle,DeKalb,1896,135,505,266,5,911,911,
Cedar Grove South,DeKalb,3962,268,1582,744,6,2600,2600,
Covington Hwy,DeKalb,995,53,101,59,6,219,219,
Covington,DeKalb,2376,137,702,369,5,1213,1213,
Clairemont East,DeKalb,3226,112,1134,1130,3,2379,2379,
Coralwood,DeKalb,3153,153,1048,931,3,2135,2135,
Candler Park,DeKalb,4018,120,1728,1223,2,3073,3073,
Clarkston Community Center,DeKalb,2495,223,609,379,10,1221,1221,
Chamblee 2,DeKalb,3137,163,1172,618,0,1953,1953,
Doraville North,DeKalb,3065,313,776,450,6,1545,1545,
Doraville South,DeKalb,1255,125,330,210,2,667,667,
Dresden Elem,DeKalb,5141,393,1404,936,6,2739,2739,
Decatur,DeKalb,1937,86,891,475,1,1453,1453,
Dunaire Elem,DeKalb,2268,189,635,429,7,1260,1260,
Dunwoody,DeKalb,3003,170,973,566,7,1716,1716,
Dunwoody 2,DeKalb,2044,103,683,378,3,1167,1167,
Druid Hills High,DeKalb,2725,135,662,636,2,1435,1435,
Dunwoody Library,DeKalb,2570,89,906,481,2,1478,1478,
East Lake,DeKalb,4139,233,1565,913,7,2718,2718,
Embry Hills,DeKalb,1721,107,516,421,0,1044,1044,
Evansdale Elem,DeKalb,3441,255,1059,719,4,2037,2037,
Emory South,DeKalb,3241,192,1046,889,6,2133,2133,
Emory Road,DeKalb,2290,126,645,432,7,1210,1210,
Fairington Elem,DeKalb,5455,445,1588,656,20,2709,2709,
Fernbank Elem,DeKalb,2125,122,696,693,1,1512,1512,
Flat Shoals Elem,DeKalb,2409,201,640,413,9,1263,1263,
Flat Shoals Parkway,DeKalb,3449,201,1308,735,5,2249,2249,
Flat Rock Elem,DeKalb,3142,257,1341,536,5,2139,2139,
Flat Shoals,DeKalb,2649,188,658,451,7,1304,1304,
Flakes Mill Fire Station,DeKalb,2103,120,753,418,7,1298,1298,
Flat Shoals Library,DeKalb,2788,243,729,417,3,1392,1392,
Freedom Middle,DeKalb,3227,297,874,543,10,1724,1724,
Glennwood,DeKalb,2715,86,882,800,6,1774,1774,
Glenhaven,DeKalb,1880,221,484,319,3,1027,1027,
Gresham Road,DeKalb,3601,219,1176,775,14,2184,2184,
Georgetown Sq,DeKalb,4155,261,1377,640,7,2285,2285,
Glenwood Road,DeKalb,2293,201,544,399,4,1148,1148,
Hambrick Elem,DeKalb,3776,304,1104,634,9,2051,2051,
Hawthorne Elem,DeKalb,3884,291,1217,680,6,2194,2194,
Henderson Mill,DeKalb,3104,182,985,687,2,1856,1856,
Huntley Hills Elem,DeKalb,3508,324,1182,530,5,2041,2041,
Hugh Howell,DeKalb,1773,153,567,338,1,1059,1059,
Harris-Narvie J Harris Elem,DeKalb,4031,183,1614,771,10,2578,2578,
Harris-Margaret Harris ED,DeKalb,1462,129,494,307,4,934,934,
Idlewood Elem,DeKalb,2472,222,751,430,8,1411,1411,
Indian Creek,DeKalb,2318,174,510,366,10,1060,1060,
Johnson Estates,DeKalb,1600,50,527,527,0,1104,1104,
Jolly Elem,DeKalb,3679,266,917,626,15,1824,1824,
Kelley Lake Elem,DeKalb,3015,276,765,569,3,1613,1613,
Kingsley Elem,DeKalb,2490,168,697,566,9,1440,1440,
Kelley Chapel Road,DeKalb,1337,126,465,312,1,904,904,
Knollwood,DeKalb,2546,263,662,463,10,1398,1398,
Kittredge Elem,DeKalb,2161,125,738,479,4,1346,1346,
Lakeside High,DeKalb,3216,213,1038,711,0,1962,1962,
Lavista Road,DeKalb,2223,142,587,625,3,1357,1357,
Lavista,DeKalb,3223,209,884,630,8,1731,1731,
Lithonia,DeKalb,1730,240,397,217,3,857,857,
Lin-Mary Lin Elem,DeKalb,3009,138,1093,881,8,2120,2120,
Lithonia High,DeKalb,3610,348,1078,533,13,1972,1972,
Livsey Elem,DeKalb,1350,81,474,300,0,855,855,
Miller-Eldridge L Miller Elem 3455,DeKalb,309,952,701,7,1969,1969,,
McNair High,DeKalb,4160,276,1423,937,7,2643,2643,
Marbut Elem,DeKalb,4234,324,1412,630,19,2385,2385,
McNair,DeKalb,2794,184,824,592,4,1604,1604,
McLendon,DeKalb,3607,188,1053,876,10,2127,2127,
McWilliams,DeKalb,2517,150,976,548,4,1678,1678,
Medlock,DeKalb,2208,144,706,665,2,1517,1517,
Midvale Elem,DeKalb,2747,160,847,647,3,1657,1657,
Miller Grove,DeKalb,4747,347,1393,677,15,2432,2432,
Montclair Elem,DeKalb,2194,220,655,241,8,1124,1124,
Montreal,DeKalb,2586,206,822,509,2,1539,1539,
Meadowview,DeKalb,3511,225,1001,758,11,1995,1995,
Memorial South,DeKalb,3138,254,715,377,18,1364,1364,
Midway,DeKalb,3139,179,746,622,7,1554,1554,
McNair Academy,DeKalb,1900,132,619,432,5,1188,1188,
Mount Vernon East,DeKalb,2651,175,881,469,3,1528,1528,
Mathis-Bob Mathis Elem,DeKalb,2789,225,940,688,5,1858,1858,
Mount Vernon West,DeKalb,2303,108,846,422,8,1384,1384,
Metropolitan,DeKalb,3405,179,1360,734,10,2283,2283,
Montgomery Elem,DeKalb,2446,160,805,525,5,1495,1495,
Miller Grove Road,DeKalb,2151,183,736,499,5,1423,1423,
Midvale Road,DeKalb,1832,151,640,324,2,1117,1117,
Miller Grove High,DeKalb,3470,284,980,446,10,1720,1720,
North Decatur,DeKalb,2166,124,633,515,12,1284,1284,
North Hairston,DeKalb,2329,227,644,410,6,1287,1287,
Northlake,DeKalb,1509,127,453,403,1,984,984,
North Peachtree,DeKalb,1916,161,524,299,5,989,989,
Oak Grove Elem,DeKalb,2253,166,688,586,0,1440,1440,
Oakcliff Elem,DeKalb,2125,274,461,294,9,1038,1038,
Oakhurst,DeKalb,2398,111,1047,691,2,1851,1851,
Oak View Elem,DeKalb,5011,362,1724,740,19,2845,2845,
Peachcrest,DeKalb,2458,173,622,433,4,1232,1232,
Peachtree Middle,DeKalb,3502,247,1191,597,5,2040,2040,
Princeton Elem,DeKalb,2376,171,863,453,5,1492,1492,
Pine Lake,DeKalb,632,244,136,70,0,450,450,
Pleasantdale Road,DeKalb,4538,432,1171,596,10,2209,2209,
Ponce de Leon,DeKalb,3766,120,909,814,13,1856,1856,
Panola,DeKalb,1586,139,474,320,2,935,935,
Panola Way Elem,DeKalb,2252,206,588,316,21,1131,1131,
Piney Grove,DeKalb,2018,162,531,336,7,1036,1036,
Panola Road,DeKalb,2884,193,1021,568,8,1790,1790,
Rainbow Elem,DeKalb,3768,263,1197,828,8,2296,2296,
Redan Elem,DeKalb,3020,208,1151,583,8,1950,1950,
Rehoboth,DeKalb,1813,102,483,543,3,1131,1131,
Rockbridge Elem,DeKalb,3595,321,948,504,17,1790,1790,
Rock Chapel Elem,DeKalb,2910,215,1118,515,7,1855,1855,
Rowland Elem,DeKalb,3765,292,913,583,8,1796,1796,
Redan-Trotti Library,DeKalb,3990,273,1277,741,21,2312,2312,
Rockbridge Road,DeKalb,3965,306,1483,962,9,2760,2760,
Rowland Road,DeKalb,2080,188,589,414,8,1199,1199,
Redan Road,DeKalb,2932,232,895,502,11,1640,1640,
Rock Chapel Road,DeKalb,4178,255,1618,806,19,2698,2698,
Redan Middle,DeKalb,2496,153,865,519,5,1542,1542,
Sagamore Hills Elem,DeKalb,2925,192,921,829,0,1942,1942,
Scott,DeKalb,2805,119,827,862,1,1809,1809,
Shaw-Robert Shaw Elem,DeKalb,2892,251,855,573,3,1682,1682,
Stone Mountain Elem,DeKalb,2338,160,523,574,3,1260,1260,
Silver Lake,DeKalb,4979,234,1535,922,2,2693,2693,
Skyland,DeKalb,2100,177,683,375,6,1241,1241,
Snapfinger Elem,DeKalb,1894,163,606,498,0,1267,1267,
Smoke Rise,DeKalb,2108,144,670,496,1,1311,1311,
Stone Mtn Middle,DeKalb,3247,292,616,320,15,1243,1243,
Stone Mill Elem,DeKalb,3714,344,680,457,14,1495,1495,
Shadow Rock Elem,DeKalb,4347,289,1570,1021,12,2892,2892,
Stoneview Elem,DeKalb,1988,167,488,248,10,913,913,
Salem Middle,DeKalb,3519,224,1400,834,6,2464,2464,
Shamrock,DeKalb,1600,137,466,471,4,1078,1078,
South Deshon,DeKalb,3470,258,1278,632,11,2179,2179,
Stone Mtn Champion,DeKalb,3098,306,775,466,10,1557,1557,
Stone Mtn,DeKalb,1711,183,370,308,2,863,863,
Snapfinger Road N,DeKalb,2705,239,680,462,5,1386,1386,
Snapfinger Road S,DeKalb,1960,154,713,430,3,1300,1300,
Stephenson Middle,DeKalb,3822,300,1398,780,2,2480,2480,
South Hairston,DeKalb,3814,357,1094,628,12,2091,2091,
Stephenson High,DeKalb,3555,262,1195,800,6,2263,2263,
Stonecrest Library,DeKalb,3720,219,1537,536,13,2305,2305,
Snapfinger Road,DeKalb,4872,219,2207,1064,9,3499,3499,
Terry Mill,DeKalb,2808,226,967,585,5,1783,1783,
Toney Elem,DeKalb,1729,155,456,343,6,960,960,
Tucker Library,DeKalb,3506,136,1218,722,3,2079,2079,
Tilly Mill Road,DeKalb,1552,114,496,288,0,898,898,
Tucker,DeKalb,2932,136,966,605,6,1713,1713,
Valley Brook,DeKalb,1037,123,308,243,6,680,680,
Wadsworth,DeKalb,3159,278,871,644,10,1803,1803,
Wesley Chapel Library,DeKalb,2922,197,1110,700,7,2014,2014,
Woodrow Road,DeKalb,3493,248,1103,485,12,1848,1848,
Winnona Park,DeKalb,2020,52,877,565,2,1496,1496,
Woodridge Elem,DeKalb,3851,325,1023,744,12,2104,2104,
Warren Tech,DeKalb,1364,170,363,217,4,754,754,
Woodward,DeKalb,3193,173,997,798,2,1970,1970,
White Oak,DeKalb,2951,310,731,420,7,1468,1468,
Winters Chapel,DeKalb,1434,103,440,319,2,864,864,
Wynbrooke Elem,DeKalb,3496,288,1330,814,13,2445,2445,
Young Road,DeKalb,1951,106,770,422,8,1306,1306,
