Precinct,County,Registered Voters,Garry Guan (Rep)_Election Day Votes,Garry Guan (Rep)_Advanced Voting Votes,Garry Guan (Rep)_Absentee by Mail Votes,Garry Guan (Rep)_Provisional Votes,Garry Guan (Rep)_Choice Total,Sally Harrell (I) (Dem)_Election Day Votes,Sally Harrell (I) (Dem)_Advanced Voting Votes,Sally Harrell (I) (Dem)_Absentee by Mail Votes,Sally Harrell (I) (Dem)_Provisional Votes,Sally Harrell (I) (Dem)_Choice Total,Total,
Ashford Park Elem,DeKalb,2432,202,569,174,0,945,94,510,391,0,995,1940,
Austin,DeKalb,2538,235,586,316,3,1140,68,525,436,0,1029,2169,
Ashford Dunwoody Rd,DeKalb,2966,202,639,237,3,1081,64,772,529,2,1367,2448,
Ashford Parkside,DeKalb,3664,186,622,299,1,1108,97,791,712,5,1605,2713,
Brookhaven,DeKalb,3444,246,680,239,1,1166,142,855,563,2,1562,2728,
Chamblee,DeKalb,2231,110,320,89,1,520,112,592,377,2,1083,1603,
Chesnut Elem,DeKalb,2363,103,233,75,1,412,178,704,360,1,1243,1655,
Chamblee 2,DeKalb,3137,131,533,222,0,886,101,917,554,0,1572,2458,
Doraville North,DeKalb,3065,132,192,113,3,440,247,695,419,4,1365,1805,
Doraville South,DeKalb,1255,64,101,57,1,223,96,289,203,2,590,813,
Dresden Elem,DeKalb,5141,52,132,56,1,241,69,204,223,0,496,737,
Dunwoody,DeKalb,3003,115,446,187,1,749,108,785,540,7,1440,2189,
Dunwoody 2,DeKalb,2044,126,488,214,3,831,42,510,330,2,884,1715,
Dunwoody Library,DeKalb,2570,102,767,273,1,1143,37,585,399,1,1022,2165,
Embry Hills,DeKalb,1721,64,244,142,0,450,73,435,387,0,895,1345,
Evansdale Elem,DeKalb,3441,143,396,223,1,763,174,867,664,2,1707,2470,
Georgetown Sq,DeKalb,4155,151,561,189,4,905,194,1119,580,4,1897,2802,
Henderson Mill,DeKalb,3104,108,373,221,1,703,140,829,660,1,1630,2333,
Huntley Hills Elem,DeKalb,3508,143,334,129,1,607,259,1041,492,3,1795,2402,
Kingsley Elem,DeKalb,2490,191,578,318,3,1090,83,450,462,6,1001,2091,
Kittredge Elem,DeKalb,2161,135,469,195,2,801,61,525,420,2,1008,1809,
Livsey Elem,DeKalb,1350,70,218,102,0,390,55,376,280,0,711,1101,
Midvale Elem,DeKalb,2747,169,519,293,0,981,88,643,571,3,1305,2286,
Mount Vernon East,DeKalb,2651,192,680,259,1,1132,84,599,397,3,1083,2215,
Mount Vernon West,DeKalb,2303,113,548,189,5,855,50,616,355,5,1026,1881,
Montgomery Elem,DeKalb,2446,165,457,211,3,836,85,613,485,3,1186,2022,
Midvale Road,DeKalb,1832,46,116,57,0,219,128,600,316,1,1045,1264,
North Peachtree,DeKalb,1916,77,182,95,2,356,119,442,268,4,833,1189,
Oakcliff Elem,DeKalb,2125,90,150,98,1,339,240,383,259,5,887,1226,
Peachtree Middle,DeKalb,3502,107,342,176,3,628,196,1043,541,3,1783,2411,
Pleasantdale Road,DeKalb,4538,82,208,97,0,387,390,1080,561,4,2035,2422,
Silver Lake,DeKalb,4979,198,1020,392,1,1611,140,1086,809,1,2036,3647,
Skyland,DeKalb,2100,147,374,161,2,684,99,511,322,3,935,1619,
Tucker Library,DeKalb,3506,11,51,24,0,86,19,130,74,0,223,309,
Tilly Mill Road,DeKalb,1552,120,351,151,1,623,58,347,237,0,642,1265,
Warren Tech,DeKalb,1364,79,118,57,0,254,128,307,215,3,653,907,
Winters Chapel,DeKalb,1434,124,295,138,0,557,56,309,257,2,624,1181,
