Precinct,County,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total,
Palmyra Methodist,Dougherty,2761,273,279,168,3,723,267,311,261,9,848,1571,
Sherwood Elementary,Dougherty,3205,231,252,159,0,642,411,538,330,1,1280,1922,
Covenant Church,Dougherty,2334,292,193,124,0,609,278,303,222,2,805,1414,
Greenbriar Church,Dougherty,3885,365,644,312,4,1325,291,696,589,5,1581,2906,
Westover High School,Dougherty,3394,281,406,239,0,926,364,714,445,0,1523,2449,
Merry Acres Middle,Dougherty,2432,284,310,156,2,752,251,325,260,9,845,1597,
Darton College,Dougherty,4289,110,240,102,1,453,495,941,638,7,2081,2534,
Westtown Elementary,Dougherty,3265,32,26,25,0,83,509,634,676,1,1820,1903,
2nd Mt Zion Church,Dougherty,1465,231,154,99,1,485,162,155,178,2,497,982,
Mt Zion Center,Dougherty,3638,14,6,7,0,27,566,572,644,2,1784,1811,
Alice Coachman Elementary,Dougherty,750,3,1,3,0,7,130,167,209,0,506,513,
Carver Teen Center,Dougherty,1667,4,1,4,0,9,234,156,239,3,632,641,
Shiloh Baptist Church,Dougherty,1510,9,16,5,0,30,264,170,228,0,662,692,
Litman Cathedral,Dougherty,1486,14,12,2,0,28,237,187,212,23,659,687,
Phoebe Healthworks,Dougherty,1574,60,33,22,0,115,179,151,186,0,516,631,
Turner Elementary,Dougherty,1205,10,2,3,0,15,107,77,68,6,258,273,
Jackson Heights Elementary,Dougherty,2549,9,4,5,0,18,403,328,376,0,1107,1125,
Bill Miller Center,Dougherty,2404,42,32,22,1,97,337,381,292,4,1014,1111,
Radium Middle School,Dougherty,693,54,22,26,0,102,104,121,80,0,305,407,
Putney 1st Baptist Church,Dougherty,2819,443,211,121,0,775,315,343,315,1,974,1749,
International Studies,Dougherty,1042,77,54,34,0,165,113,193,187,1,494,659,
Phoebe East,Dougherty,2965,67,44,44,1,156,478,389,368,3,1238,1394,
Pine Bluff Baptist Church,Dougherty,2221,192,121,98,0,411,285,315,317,0,917,1328,
Albany Middle School,Dougherty,1963,18,18,13,0,49,348,271,255,4,878,927,
Christ Church,Dougherty,1879,391,281,171,0,843,155,273,226,1,655,1498,
Lamar Reese Elementary,Dougherty,1098,17,8,2,0,27,170,201,266,6,643,670,
1st Christian Church,Dougherty,1505,196,220,146,0,562,183,200,138,1,522,1084,
Lovett Hall,Dougherty,1174,11,5,0,0,16,187,163,33,1,384,400,
