Precinct,County,Registered Voters,Marty Harbin (I) (Rep)_Election Day Votes,Marty Harbin (I) (Rep)_Advanced Voting Votes,Marty Harbin (I) (Rep)_Absentee by Mail Votes,Marty Harbin (I) (Rep)_Provisional Votes,Marty Harbin (I) (Rep)_Choice Total,Cinquez Jester (Dem)_Election Day Votes,Cinquez Jester (Dem)_Advanced Voting Votes,Cinquez Jester (Dem)_Absentee by Mail Votes,Cinquez Jester (Dem)_Provisional Votes,Cinquez Jester (Dem)_Choice Total,Total,
Brooks,Fayette,2567,533,971,314,1,1819,33,111,131,0,275,2094,
Rareover,Fayette,3045,154,1243,227,2,1626,54,486,152,0,692,2318,
Shakerag East,Fayette,1689,193,482,140,2,817,62,221,131,0,414,1231,
Shakerag West,Fayette,1236,51,498,138,1,688,21,188,137,1,347,1035,
Starrsmill,Fayette,3572,396,1170,402,0,1968,81,240,208,0,529,2497,
Whitewater,Fayette,3564,305,1308,426,5,2044,73,466,270,6,815,2859,
Woolsey,Fayette,2542,331,943,373,0,1647,39,168,182,0,389,2036,
McIntosh,Fayette,3323,206,1191,342,1,1740,53,479,303,1,836,2576,
Oak Grove,Fayette,1344,130,451,103,0,684,49,189,107,1,346,1030,
Kedron,Fayette,4862,328,1391,401,1,2121,185,880,473,2,1540,3661,
Aberdeen,Fayette,1805,135,620,176,0,931,43,260,116,0,419,1350,
Windgate,Fayette,1011,118,348,70,2,538,31,139,83,0,253,791,
Flat Creek,Fayette,2117,163,547,226,2,938,99,302,151,0,552,1490,
Braelinn,Fayette,1876,189,792,216,2,1199,32,155,105,0,292,1491,
Harps Crossing,Fayette,1646,154,495,208,2,859,54,221,135,0,410,1269,
Willow Pond,Fayette,3100,211,745,265,7,1228,111,575,387,2,1075,2303,
Dogwood,Fayette,3092,230,1047,340,3,1620,75,517,266,0,858,2478,
Murphy,Fayette,3224,157,761,347,4,1269,104,685,398,1,1188,2457,
Fielding Ridge,Fayette,3497,276,1260,285,0,1821,85,528,328,0,941,2762,
Willowbend,Fayette,2007,150,704,177,0,1031,53,270,141,0,464,1495,
Camp Creek,Fayette,1895,161,709,189,1,1060,32,238,139,1,410,1470,
Rising Star,Fayette,3833,364,1709,392,1,2466,81,525,265,2,873,3339,
Spring Hill,Fayette,3299,136,741,271,0,1148,88,795,454,2,1339,2487,
Antioch,Fayette,1956,263,468,183,1,915,94,260,188,0,542,1457,
