Precinct,County,Registered Voters,"Lauren W. McDonald, III (Rep)_Election Day Votes","Lauren W. McDonald, III (Rep)_Advanced Voting Votes","Lauren W. McDonald, III (Rep)_Absentee by Mail Votes","Lauren W. McDonald, III (Rep)_Provisional Votes","Lauren W. McDonald, III (Rep)_Choice Total",Jason Boskey (Dem)_Election Day Votes,Jason Boskey (Dem)_Advanced Voting Votes,Jason Boskey (Dem)_Absentee by Mail Votes,Jason Boskey (Dem)_Provisional Votes,Jason Boskey (Dem)_Choice Total,Total,
03 Browns Bridge,Forsyth,10740,745,4117,1082,2,5946,171,896,509,3,1579,7525,
04 Chestatee,Forsyth,6776,583,3025,635,1,4244,78,421,280,1,780,5024,
05 Coal Mountain,Forsyth,7852,409,1950,381,1,2741,126,660,320,1,1107,3848,
06 Crossroads,Forsyth,7061,529,3057,494,1,4081,79,583,289,0,951,5032,
07 Cumming,Forsyth,6281,12,227,89,0,328,10,32,34,0,76,404,
08 Mashburn,Forsyth,8296,494,2706,812,1,4013,110,707,513,1,1331,5344,
16 Otwell,Forsyth,6333,24,90,12,0,126,3,17,7,0,27,153,
25 Windermere,Forsyth,9714,327,2278,568,2,3175,116,764,449,0,1329,4504,
27 Concord,Forsyth,9858,638,3173,563,3,4377,108,733,341,0,1182,5559,
36 Nichols,Forsyth,6989,20,94,33,0,147,11,147,79,1,238,385,
