Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
EP01A,Fulton,2978,164,856,285,12,1317,42,189,88,2,321,1638,
EP01B,Fulton,3473,176,790,310,4,1280,54,231,169,5,459,1739,
EP02A,Fulton,2407,132,431,208,14,785,36,151,117,6,310,1095,
EP02B,Fulton,1679,81,595,267,1,944,20,122,57,0,199,1143,
EP02C,Fulton,522,16,182,61,0,259,6,30,15,0,51,310,
EP02D,Fulton,420,21,127,36,0,184,12,33,16,0,61,245,
EP02E,Fulton,1668,80,392,128,0,600,30,78,37,0,145,745,
EP03A,Fulton,4925,255,1196,535,7,1993,85,433,324,1,843,2836,
EP03B,Fulton,1547,58,459,251,3,771,24,176,103,2,305,1076,
EP04A,Fulton,5020,404,1051,476,16,1947,148,330,213,6,697,2644,
EP04B,Fulton,2624,111,877,217,2,1207,45,211,67,0,323,1530,
EP04C,Fulton,1318,0,299,30,2,331,0,108,12,2,122,453,
