Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Sterling Elementary,Glynn,4578,389,1363,471,3,2226,102,402,127,0,631,2857,
Brookman,Glynn,3460,361,1078,331,4,1774,103,318,75,0,496,2270,
Satilla Marshes,Glynn,2824,309,950,365,0,1624,85,222,49,0,356,1980,
Blythe Island Baptist,Glynn,2529,229,853,264,1,1347,79,242,47,1,369,1716,
Christian Renewal,Glynn,3699,273,1544,667,3,2487,44,280,81,0,405,2892,
Hampton River,Glynn,2823,207,1231,528,1,1967,33,201,67,1,302,2269,
St William Catholic Church,Glynn,4333,260,1888,680,1,2829,64,354,100,1,519,3348,
First Baptist,Glynn,4316,272,1747,700,2,2721,83,346,89,0,518,3239,
Jekyll Island,Glynn,774,231,113,164,2,510,36,26,22,0,84,594,
Sterling Church of God,Glynn,3925,392,1134,388,4,1918,94,336,72,0,502,2420,
SE Baptist Bldg,Glynn,2109,208,590,186,1,985,71,144,37,1,253,1238,
Career Academy,Glynn,2960,309,878,344,1,1532,76,222,75,1,374,1906,
C B Greer School,Glynn,3288,310,1033,426,2,1771,69,249,73,0,391,2162,
Ballard,Glynn,3286,237,910,356,3,1506,77,208,84,1,370,1876,
Northside Baptist,Glynn,3313,262,722,440,0,1424,105,257,99,2,463,1887,
The Chapel,Glynn,2971,188,627,352,1,1168,52,209,89,1,351,1519,
College Place UMC,Glynn,2367,168,544,315,0,1027,54,176,78,1,309,1336,
Howard Coffin Park,Glynn,3320,241,688,380,2,1311,83,194,106,0,383,1694,
Urbana-Perry Parks,Glynn,3638,250,561,386,2,1199,96,217,127,1,441,1640,
Selden Park,Glynn,1439,88,209,144,3,444,35,96,35,0,166,610,
