Precinct,County,Registered Voters,Jackie Johnson (I) (Rep)_Election Day Votes,Jackie Johnson (I) (Rep)_Advanced Voting Votes,Jackie Johnson (I) (Rep)_Absentee by Mail Votes,Jackie Johnson (I) (Rep)_Provisional Votes,Jackie Johnson (I) (Rep)_Choice Total,Keith Higgins (Ind)_Election Day Votes,Keith Higgins (Ind)_Advanced Voting Votes,Keith Higgins (Ind)_Absentee by Mail Votes,Keith Higgins (Ind)_Provisional Votes,Keith Higgins (Ind)_Choice Total,Total,
Sterling Elementary,Glynn,4578,205,800,239,1,1245,299,970,364,1,1634,2879,
Brookman,Glynn,3460,187,544,122,1,854,284,856,285,3,1428,2282,
Satilla Marshes,Glynn,2824,138,443,130,0,711,252,726,282,0,1260,1971,
Blythe Island Baptist,Glynn,2529,104,456,125,0,685,208,663,196,2,1069,1754,
Christian Renewal,Glynn,3699,146,740,274,2,1162,182,1100,483,2,1767,2929,
Hampton River,Glynn,2823,112,635,218,2,967,129,802,380,0,1311,2278,
St William Catholic Church,Glynn,4333,148,881,244,0,1273,183,1403,544,2,2132,3405,
First Baptist,Glynn,4316,143,902,291,0,1336,220,1234,522,2,1978,3314,
Jekyll Island,Glynn,774,108,47,35,1,191,161,91,150,1,403,594,
Sterling Church of God,Glynn,3925,179,540,143,1,863,313,935,311,3,1562,2425,
SE Baptist Bldg,Glynn,2109,92,263,73,1,429,189,471,156,1,817,1246,
Career Academy,Glynn,2960,117,393,157,1,668,273,713,277,2,1265,1933,
C B Greer School,Glynn,3288,153,487,134,0,774,234,771,377,3,1385,2159,
Ballard,Glynn,3286,97,455,165,3,720,208,658,278,3,1147,1867,
Northside Baptist,Glynn,3313,85,210,92,0,387,282,761,446,1,1490,1877,
The Chapel,Glynn,2971,63,212,95,0,370,177,607,344,2,1130,1500,
College Place UMC,Glynn,2367,46,179,93,0,318,163,524,287,1,975,1293,
Howard Coffin Park,Glynn,3320,63,168,66,0,297,244,710,421,2,1377,1674,
Urbana-Perry Parks,Glynn,3638,43,64,45,0,152,279,651,464,3,1397,1549,
Selden Park,Glynn,1439,24,74,16,2,116,99,222,163,1,485,601,
