Precinct,County,Registered Voters,Jeff Chapman (I) (Rep)_Election Day Votes,Jeff Chapman (I) (Rep)_Advanced Voting Votes,Jeff Chapman (I) (Rep)_Absentee by Mail Votes,Jeff Chapman (I) (Rep)_Provisional Votes,Jeff Chapman (I) (Rep)_Choice Total,"Utrina """"Trina"""" Rankin (Dem)_Election Day Votes","Utrina """"Trina"""" Rankin (Dem)_Advanced Voting Votes","Utrina """"Trina"""" Rankin (Dem)_Absentee by Mail Votes","Utrina """"Trina"""" Rankin (Dem)_Provisional Votes","Utrina """"Trina"""" Rankin (Dem)_Choice Total",Total,
Sterling Elementary,Glynn,4578,426,1546,407,1,2380,89,300,214,1,604,2984,
Brookman,Glynn,3460,404,1141,231,2,1778,80,311,196,2,589,2367,
Satilla Marshes,Glynn,2824,321,942,248,0,1511,74,266,169,0,509,2020,
Blythe Island Baptist,Glynn,2529,270,977,238,2,1487,44,157,80,0,281,1768,
Christian Renewal,Glynn,3699,281,1488,510,3,2282,52,379,250,1,682,2964,
Hampton River,Glynn,2823,219,1221,403,2,1845,22,231,210,0,463,2308,
St William Catholic Church,Glynn,4333,286,1850,512,2,2650,42,461,295,0,798,3448,
First Baptist,Glynn,4316,303,1720,506,1,2530,62,442,309,1,814,3344,
Jekyll Island,Glynn,774,218,96,98,2,414,51,46,92,0,189,603,
Sterling Church of God,Glynn,3925,392,1141,265,4,1802,106,396,211,0,713,2515,
SE Baptist Bldg,Glynn,2109,224,582,132,1,939,60,183,101,1,345,1284,
Career Academy,Glynn,2960,310,901,289,3,1503,77,232,163,0,472,1975,
C B Greer School,Glynn,3288,322,993,293,1,1609,71,313,230,1,615,2224,
Ballard,Glynn,3286,199,846,301,4,1350,119,325,164,1,609,1959,
Northside Baptist,Glynn,3313,190,472,190,0,852,187,554,360,1,1102,1954,
The Chapel,Glynn,2971,145,431,160,0,736,106,453,299,2,860,1596,
College Place UMC,Glynn,2367,105,364,147,0,616,127,377,262,1,767,1383,
Howard Coffin Park,Glynn,3320,160,402,174,0,736,172,526,334,2,1034,1770,
Urbana-Perry Parks,Glynn,3638,67,114,72,0,253,292,691,475,3,1461,1714,
Selden Park,Glynn,1439,54,132,38,2,226,73,184,155,1,413,639,
