Precinct,County,Registered Voters,Chuck Efstration (I) (Rep)_Election Day Votes,Chuck Efstration (I) (Rep)_Advanced Voting Votes,Chuck Efstration (I) (Rep)_Absentee by Mail Votes,Chuck Efstration (I) (Rep)_Provisional Votes,Chuck Efstration (I) (Rep)_Choice Total,Nakita Hemingway (Dem)_Election Day Votes,Nakita Hemingway (Dem)_Advanced Voting Votes,Nakita Hemingway (Dem)_Absentee by Mail Votes,Nakita Hemingway (Dem)_Provisional Votes,Nakita Hemingway (Dem)_Choice Total,Total,
HARBINS A,Gwinnett,7182,150,558,210,0,918,187,898,444,2,1531,2449,
DACULA,Gwinnett,4777,241,928,280,0,1449,246,1102,573,0,1921,3370,
DUNCANS A,Gwinnett,4729,366,1579,510,1,2456,116,707,451,1,1275,3731,
DUNCANS C,Gwinnett,3040,336,1038,307,0,1681,86,411,273,0,770,2451,
HOG MOUNTAIN B,Gwinnett,4583,118,276,112,0,506,75,319,213,0,607,1113,
ROCKYCREEK A,Gwinnett,5939,488,1524,445,0,2457,266,1096,603,2,1967,4424,
LAWRENCEVILLE D,Gwinnett,5012,33,48,31,0,112,58,134,57,0,249,361,
DUNCANS B,Gwinnett,5387,572,1680,519,2,2773,212,748,457,1,1418,4191,
HARBINS B,Gwinnett,4845,338,1282,322,1,1943,195,861,427,2,1485,3428,
LAWRENCEVILLE M,Gwinnett,7255,232,575,286,1,1094,539,2045,1038,1,3623,4717,
ROCKYCREEK C,Gwinnett,4806,338,1220,379,0,1937,237,941,521,2,1701,3638,
