Precinct,County,Registered Voters,William Park Freeman (Rep)_Election Day Votes,William Park Freeman (Rep)_Advanced Voting Votes,William Park Freeman (Rep)_Absentee by Mail Votes,William Park Freeman (Rep)_Provisional Votes,William Park Freeman (Rep)_Choice Total,Kim Jackson (Dem)_Election Day Votes,Kim Jackson (Dem)_Advanced Voting Votes,Kim Jackson (Dem)_Absentee by Mail Votes,Kim Jackson (Dem)_Provisional Votes,Kim Jackson (Dem)_Choice Total,Total,
BERKSHIRE A,Gwinnett,2555,172,224,117,0,513,257,429,324,1,1011,1524,
BERKSHIRE B,Gwinnett,5338,122,519,319,1,961,287,1369,851,3,2510,3471,
MARTINS C,Gwinnett,2549,168,311,191,0,670,227,507,345,3,1082,1752,
BERKSHIRE F,Gwinnett,2254,170,212,156,1,539,185,372,305,0,862,1401,
PINCKNEYVILLE K,Gwinnett,3754,71,124,80,0,275,159,367,227,1,754,1029,
BERKSHIRE H,Gwinnett,1987,100,171,143,1,415,152,346,247,0,745,1160,
BERKSHIRE L,Gwinnett,3265,164,241,147,0,552,335,702,446,0,1483,2035,
BERKSHIRE P,Gwinnett,1476,95,147,73,1,316,125,241,184,1,551,867,
MARTINS K,Gwinnett,5352,207,385,249,0,841,480,1361,786,0,2627,3468,
BERKSHIRE Q,Gwinnett,1802,22,49,21,1,93,35,39,42,1,117,210,
