Precinct,County,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total,
Cataula,Harris,2898,629,817,266,1,1713,102,225,197,0,524,2237,
Ellerslie,Harris,4211,842,1176,395,0,2413,127,433,360,0,920,3333,
Goodman,Harris,1649,255,345,149,0,749,134,129,132,1,396,1145,
Hamilton,Harris,2739,433,767,174,4,1378,143,289,231,1,664,2042,
Lower 19th,Harris,2570,667,691,244,2,1604,59,158,177,0,394,1998,
Mulberry Grove,Harris,2908,580,1001,292,0,1873,53,177,149,0,379,2252,
Pine Mountain Valley,Harris,1121,410,215,81,2,708,45,39,44,0,128,836,
Skinner,Harris,894,265,112,85,1,463,94,45,77,1,217,680,
Upper 19th,Harris,1628,428,514,157,2,1101,52,76,57,0,185,1286,
Valley Plains,Harris,785,244,113,52,0,409,69,38,60,0,167,576,
Waverly Hall,Harris,2853,519,640,251,2,1412,149,245,272,1,667,2079,
Whitesville,Harris,1370,409,304,119,0,832,85,67,95,0,247,1079,
