Precinct,County,Registered Voters,"Kristopher """"Kris"""" Stancil (Rep)_Election Day Votes","Kristopher """"Kris"""" Stancil (Rep)_Advanced Voting Votes","Kristopher """"Kris"""" Stancil (Rep)_Absentee by Mail Votes","Kristopher """"Kris"""" Stancil (Rep)_Provisional Votes","Kristopher """"Kris"""" Stancil (Rep)_Choice Total",David Shouse (Ind)_Election Day Votes,David Shouse (Ind)_Advanced Voting Votes,David Shouse (Ind)_Absentee by Mail Votes,David Shouse (Ind)_Provisional Votes,David Shouse (Ind)_Choice Total,Total,
Yellow Creek,Pickens,3571,634,902,340,0,1876,251,217,178,0,646,2522,
Sharptop,Pickens,2616,503,618,336,0,1457,157,201,171,0,529,1986,
Appalachian,Pickens,1933,327,490,142,0,959,123,185,77,0,385,1344,
Refuge,Pickens,2490,438,622,182,0,1242,174,226,64,0,464,1706,
Hill,Pickens,2042,410,500,153,1,1064,177,165,75,1,418,1482,
Hinton,Pickens,825,245,113,30,0,388,95,52,9,0,156,544,
Jerusalem,Pickens,1145,365,173,60,0,598,154,43,33,0,230,828,
Ludville,Pickens,721,238,60,28,0,326,85,44,13,0,142,468,
Nelson,Pickens,1474,318,298,82,0,698,133,106,51,0,290,988,
Talking Rock,Pickens,1781,354,393,131,2,880,133,127,44,1,305,1185,
Jasper,Pickens,2517,375,523,164,1,1063,160,222,85,0,467,1530,
Tate,Pickens,2651,536,650,193,0,1379,182,220,70,1,473,1852,
