Precinct,County,Registered Voters,Bill Cowsert (I) (Rep)_Election Day Votes,Bill Cowsert (I) (Rep)_Advanced Voting Votes,Bill Cowsert (I) (Rep)_Absentee by Mail Votes,Bill Cowsert (I) (Rep)_Provisional Votes,Bill Cowsert (I) (Rep)_Choice Total,Zachary Perry (Dem)_Election Day Votes,Zachary Perry (Dem)_Advanced Voting Votes,Zachary Perry (Dem)_Absentee by Mail Votes,Zachary Perry (Dem)_Provisional Votes,Zachary Perry (Dem)_Choice Total,Total,
Bold Springs,Walton,4653,690,1770,540,2,3002,105,304,261,0,670,3672,
Walker Park,Walton,3858,515,1427,405,0,2347,96,200,169,0,465,2812,
Gratis,Walton,1243,331,438,137,0,906,19,37,56,0,112,1018,
Between,Walton,4925,549,2110,496,1,3156,99,351,254,0,704,3860,
Loganville North,Walton,5225,505,1566,481,3,2555,140,506,305,1,952,3507,
South Monroe,Walton,3910,266,1190,327,0,1783,102,403,211,0,716,2499,
North Monroe,Walton,4818,301,777,241,1,1320,287,683,492,3,1465,2785,
Loganville South,Walton,3768,327,1098,390,0,1815,162,376,246,0,784,2599,
West Walton,Walton,4219,556,1576,452,0,2584,93,362,198,0,653,3237,
Broken Arrow,Walton,4380,583,1649,399,0,2631,58,284,215,0,557,3188,
Bay Creek,Walton,3401,349,1390,345,1,2085,56,236,174,0,466,2551,
E Monroe,Walton,4119,339,806,222,1,1368,210,437,234,4,885,2253,
W Monroe,Walton,2027,239,848,209,0,1296,47,148,93,0,288,1584,
Tara,Walton,4050,277,1056,298,1,1632,164,814,354,2,1334,2966,
Mountain,Walton,1657,276,585,158,0,1019,42,79,53,0,174,1193,
Blasingame,Walton,1115,398,312,94,0,804,28,37,35,0,100,904,
Good Hope,Walton,2149,626,642,160,0,1428,47,92,73,0,212,1640,
