Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Odum,Wayne,1260,238,394,87,0,719,70,116,23,0,209,928,
Madray Springs,Wayne,1176,143,436,117,0,696,38,104,29,0,171,867,
Oglethorpe,Wayne,1741,201,603,157,0,961,48,160,32,0,240,1201,
Screven,Wayne,1849,390,519,134,2,1045,93,123,29,0,245,1290,
Empire,Wayne,1106,146,420,84,0,650,37,111,21,0,169,819,
Red Hill,Wayne,1036,112,324,89,0,525,38,78,22,0,138,663,
Altamaha,Wayne,2857,216,901,204,3,1324,64,248,59,0,371,1695,
Gardi,Wayne,1123,235,282,108,1,626,61,68,23,0,152,778,
VFW,Wayne,1145,77,262,105,1,445,23,105,48,0,176,621,
Pine Street,Wayne,1140,96,345,107,0,548,24,101,23,0,148,696,
Unity,Wayne,1905,168,604,215,0,987,61,186,41,0,288,1275,
Rec Center,Wayne,1766,185,613,154,0,952,54,153,44,0,251,1203,
